source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[project name]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	characteristics[host body product]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[biological replicate]
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1H	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1H	human feces metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	not available	PXD035815	gut microbiome	Homo sapiens	not available	not available	feces	feces	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1H	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1H.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2B	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2B	human feces metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	not available	PXD035815	gut microbiome	Homo sapiens	not available	not available	feces	feces	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P3A	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P3A	human feces metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	not available	PXD035815	gut microbiome	Homo sapiens	not available	not available	feces	feces	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P3A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P3A.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1G	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1G	human feces metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	not available	PXD035815	gut microbiome	Homo sapiens	not available	not available	feces	feces	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1G.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2E	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2E	human feces metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	not available	PXD035815	gut microbiome	Homo sapiens	not available	not available	feces	feces	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2E	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2E.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2D	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2D	human feces metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	not available	PXD035815	gut microbiome	Homo sapiens	not available	not available	feces	feces	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2D.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2C	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2C	human feces metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	not available	PXD035815	gut microbiome	Homo sapiens	not available	not available	feces	feces	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2C.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A	human feces metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	not available	PXD035815	gut microbiome	Homo sapiens	not available	not available	feces	feces	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B	human feces metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	not available	PXD035815	gut microbiome	Homo sapiens	not available	not available	feces	feces	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2H	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2H	human feces metagenome	not applicable	not applicable	not applicable	gut microbiome	feces	not available	PXD035815	gut microbiome	Homo sapiens	not available	not available	feces	feces	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2H	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P2H.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	1
