source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[compound]
20210121_DC2101_1_H005XST_A10	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	1	20210121_DC2101_1_H005XST_A10	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_A10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_A2	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	2	20210121_DC2101_1_H005XST_A2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_A2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_A3	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	3	20210121_DC2101_1_H005XST_A3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_A3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_A4	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	4	20210121_DC2101_1_H005XST_A4	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_A4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_A5	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	5	20210121_DC2101_1_H005XST_A5	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_A5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_A6	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	6	20210121_DC2101_1_H005XST_A6	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_A6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_A7	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	7	20210121_DC2101_1_H005XST_A7	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_A7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_A8	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	8	20210121_DC2101_1_H005XST_A8	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_A8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_A9	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	9	20210121_DC2101_1_H005XST_A9	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_A9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_B10	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	10	20210121_DC2101_1_H005XST_B10	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_B10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
