source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
PXD038450-Sample-1	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-1	tissue	1	caERBB2-overexpressing (dedifferentiated) whole heart at the Dediff timepoint after myocardial infarction	not available	HFX_7366_ETZ_9_T1_OE-MI_1_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_9_T1_OE-MI_1_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_OE_MI
PXD038450-Sample-2	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-2	tissue	2	caERBB2-overexpressing (dedifferentiated) whole heart at the Dediff timepoint after myocardial infarction	not available	HFX_7366_ETZ_10_T1_OE-MI_2_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_10_T1_OE-MI_2_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_OE_MI
PXD038450-Sample-3	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-3	tissue	3	caERBB2-overexpressing (dedifferentiated) whole heart at the Dediff timepoint after myocardial infarction	not available	HFX_7366_ETZ_11_T1_OE-MI_3_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_11_T1_OE-MI_3_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_OE_MI
PXD038450-Sample-4	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-4	tissue	4	caERBB2-overexpressing (dedifferentiated) whole heart at the Dediff timepoint after myocardial infarction	not available	HFX_7366_ETZ_12_T1_OE-MI_4_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_12_T1_OE-MI_4_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_OE_MI
PXD038450-Sample-5	Mus musculus	heart	not applicable	normal	not available	not available	not available	not available	PXD038450-Individual-5	tissue	1	caERBB2-overexpressing (dedifferentiated) whole heart at the Dediff timepoint, sham-operated	not available	HFX_7366_ETZ_13_T1_OE-sham_1_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_13_T1_OE-sham_1_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_OE_sham
PXD038450-Sample-6	Mus musculus	heart	not applicable	normal	not available	not available	not available	not available	PXD038450-Individual-6	tissue	3	caERBB2-overexpressing (dedifferentiated) whole heart at the Dediff timepoint, sham-operated	not available	HFX_7366_ETZ_15_T1_OE-sham_3_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_15_T1_OE-sham_3_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_OE_sham
PXD038450-Sample-7	Mus musculus	heart	not applicable	normal	not available	not available	not available	not available	PXD038450-Individual-7	tissue	4	caERBB2-overexpressing (dedifferentiated) whole heart at the Dediff timepoint, sham-operated	not available	HFX_7366_ETZ_16_T1_OE-sham_4_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_16_T1_OE-sham_4_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_OE_sham
PXD038450-Sample-8	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-8	tissue	1	Wild-type whole heart at the Dediff timepoint after myocardial infarction	not available	HFX_7366_ETZ_1_T1_WT-MI_1_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_1_T1_WT-MI_1_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_WT_MI
PXD038450-Sample-9	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-9	tissue	2	Wild-type whole heart at the Dediff timepoint after myocardial infarction	not available	HFX_7366_ETZ_2_T1_WT-MI_2_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_2_T1_WT-MI_2_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_WT_MI
PXD038450-Sample-10	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-10	tissue	3	Wild-type whole heart at the Dediff timepoint after myocardial infarction	not available	HFX_7366_ETZ_3_T1_WT-MI_3_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_3_T1_WT-MI_3_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_WT_MI
