source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[cell type]	characteristics[material type]	characteristics[culture medium]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[label]
HeLa_light_Mix1	Homo sapiens	uterine cervix	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	epithelial cell	cell line	Dulbecco's Modified Eagle Medium	African American	30Y6M	female	adult	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	20220603_QE1_TB_A3R1_DDA1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	SILAC light
HeLa_medium_Mix1	Homo sapiens	uterine cervix	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	epithelial cell	cell line	Dulbecco's Modified Eagle Medium	African American	30Y6M	female	adult	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=SILAC medium;AC=PRIDE:0000327	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	20220603_QE1_TB_A3R1_DDA1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	SILAC medium
HeLa_heavy_Mix1	Homo sapiens	uterine cervix	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	epithelial cell	cell line	Dulbecco's Modified Eagle Medium	African American	30Y6M	female	adult	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	20220603_QE1_TB_A3R1_DDA1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	SILAC heavy
HeLa_light_Mix1	Homo sapiens	uterine cervix	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	epithelial cell	cell line	Dulbecco's Modified Eagle Medium	African American	30Y6M	female	adult	not pooled	1	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	20220603_QE1_TB_A3R1_DDA2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	SILAC light
HeLa_medium_Mix1	Homo sapiens	uterine cervix	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	epithelial cell	cell line	Dulbecco's Modified Eagle Medium	African American	30Y6M	female	adult	not pooled	1	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=SILAC medium;AC=PRIDE:0000327	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	20220603_QE1_TB_A3R1_DDA2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	SILAC medium
HeLa_heavy_Mix1	Homo sapiens	uterine cervix	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	epithelial cell	cell line	Dulbecco's Modified Eagle Medium	African American	30Y6M	female	adult	not pooled	1	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	20220603_QE1_TB_A3R1_DDA2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	SILAC heavy
HeLa_light_Mix1	Homo sapiens	uterine cervix	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	epithelial cell	cell line	Dulbecco's Modified Eagle Medium	African American	30Y6M	female	adult	not pooled	1	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	3	20220603_QE1_TB_A3R1_DDA3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	SILAC light
HeLa_medium_Mix1	Homo sapiens	uterine cervix	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	epithelial cell	cell line	Dulbecco's Modified Eagle Medium	African American	30Y6M	female	adult	not pooled	1	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=SILAC medium;AC=PRIDE:0000327	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	3	20220603_QE1_TB_A3R1_DDA3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	SILAC medium
HeLa_heavy_Mix1	Homo sapiens	uterine cervix	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	epithelial cell	cell line	Dulbecco's Modified Eagle Medium	African American	30Y6M	female	adult	not pooled	1	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	3	20220603_QE1_TB_A3R1_DDA3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	SILAC heavy
HeLa_light_Mix2	Homo sapiens	uterine cervix	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	epithelial cell	cell line	Dulbecco's Modified Eagle Medium	African American	30Y6M	female	adult	not pooled	1	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	20220603_QE1_TB_A3R2_DDA1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	SILAC light
