source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cultured cell]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[data file]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
CONTROL_4	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	mtPrA	proteomic profiling by mass spectrometry	4	1	Label free	OF_20210531_OEF_06.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPS63_4	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPS63-PrA	proteomic profiling by mass spectrometry	4	1	Label free	OF_20210531_OEF_03.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPS49_4	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL76-PrA	proteomic profiling by mass spectrometry	4	1	Label free	OF_20210531_OEF_01.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPL46_4	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL76-PrA	proteomic profiling by mass spectrometry	4	1	Label free	OF_20210531_OEF_04.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPL76_4	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL76-PrA	proteomic profiling by mass spectrometry	4	1	Label free	OF_20210531_OEF_05.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPS49_1	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPS49-PrA	proteomic profiling by mass spectrometry	1	1	Label free	OF_20210714_OEF_01_2.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPS49_2	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPS49-PrA	proteomic profiling by mass spectrometry	2	1	Label free	OF_20210714_OEF_02_2.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPS49_3	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPS49-PrA	proteomic profiling by mass spectrometry	3	1	Label free	OF_20210714_OEF_03.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPS63_1	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPS63-PrA	proteomic profiling by mass spectrometry	1	1	Label free	OF_20210717_OEF_04.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPS63_2	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPS63-PrA	proteomic profiling by mass spectrometry	2	1	Label free	OF_20210717_OEF_05.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPS63_3	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPS63-PrA	proteomic profiling by mass spectrometry	3	1	Label free	OF_20210717_OEF_06.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPL46_1	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL46-PrA	proteomic profiling by mass spectrometry	1	1	Label free	OF_20210717_OEF_07.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPL46_2	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL46-PrA	proteomic profiling by mass spectrometry	2	1	Label free	OF_20210717_OEF_08.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPL46_3	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL46-PrA	proteomic profiling by mass spectrometry	3	1	Label free	OF_20210717_OEF_09.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPL76_1	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL76-PrA	proteomic profiling by mass spectrometry	1	1	Label free	OF_20210716_OEF_10.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
MRPL76_2	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL76-PrA	proteomic profiling by mass spectrometry	2	1	Label free	OF_20210716_OEF_11.RAW	Orbitrap Fusion	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
