source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[phenotype]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[details]	factor value[phenotype]
1	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	1	Wild type	Run 1	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-E18_5-WT-1_RA1_1_4310.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Wild type
2	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	2	Wild type	Run 2	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-E18_5-WT-2_RA2_1_4311.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Wild type
3	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	3	Wild type	Run 3	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-E18_5-WT-3_RA3_1_4312.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Wild type
4	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	4	Wild type	Run 4	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-E18_5-WT-4_RA4_1_4313.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Wild type
5	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	1	Hemizygous	Run 5	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-E18_5-Hemi-1_RA5_1_4314.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Hemizygous
6	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	2	Hemizygous	Run 6	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-E18_5-Hemi-2_RA6_1_4315.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Hemizygous
7	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	3	Hemizygous	Run 7	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-E18_5-Hemi-3_RA7_1_4316.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Hemizygous
8	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	4	Hemizygous	Run 8	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-E18_5-Hemi-4_RA8_1_4317.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Hemizygous
9	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	1	Wild type	Run 9	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-P10-Hemi-1_RB5_1_4322.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Wild type
10	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	2	Wild type	Run 10	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-P10-Hemi-2_RB6_1_4323.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Wild type
11	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	3	Wild type	Run 11	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-P10-Hemi-3_RB7_1_4324.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Wild type
12	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	4	Wild type	Run 12	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-P10-Hemi-4_RB8_1_4325.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Wild type
13	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	1	Hemizygous	Run 13	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-P10-WT-1_RB1_1_4318.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Hemizygous
14	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	2	Hemizygous	Run 14	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-P10-WT-2_RB2_1_4319.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Hemizygous
15	NT=Mus musculus;AC=NCBITaxon:10090	Whole brain	not applicable	3	Hemizygous	Run 15	dia-PASEF	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	Thoc2Del-UoA-DIA-P10-WT-3_RB3_1_4320.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	quantitation	Hemizygous
