source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[development]
sample 1	Juglans regia	seed	not applicable	not applicable	1	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_Juglans6per-1b	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dry
sample 1	Juglans regia	seed	not applicable	not applicable	2	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_Juglans6per-2a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dry
sample 1	Juglans regia	seed	not applicable	not applicable	3	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_Juglans6per-3a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dry
sample 1	Juglans regia	seed	not applicable	not applicable	4	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_Juglans6per-4a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dry
sample 1	Juglans regia	seed	not applicable	not applicable	5	run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_Juglans6per-5a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dry
sample 2	Juglans regia	seed	not applicable	not applicable	1	run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_Juglans15per-1b	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	imbibed
sample 2	Juglans regia	seed	not applicable	not applicable	2	run 7	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_Juglans15per-2a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	imbibed
sample 2	Juglans regia	seed	not applicable	not applicable	3	run 8	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_Juglans15per-3a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	imbibed
sample 2	Juglans regia	seed	not applicable	not applicable	4	run 9	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_Juglans15per-4a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	imbibed
sample 2	Juglans regia	seed	not applicable	not applicable	5	run 10	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_Juglans15per-5a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	imbibed
sample 3	Juglans regia	seed	not applicable	not applicable	1	run 11	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_JuglansCD-1a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	deteriorated
sample 3	Juglans regia	seed	not applicable	not applicable	2	run 12	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_JuglansCD-2b	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	deteriorated
sample 3	Juglans regia	seed	not applicable	not applicable	3	run 13	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_JuglansCD-3a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	deteriorated
sample 3	Juglans regia	seed	not applicable	not applicable	4	run 14	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_JuglansCD-4a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	deteriorated
sample 3	Juglans regia	seed	not applicable	not applicable	5	run 15	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_JuglansCD-5a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	deteriorated
sample 4	Juglans regia	seed	not applicable	not applicable	1	run 16	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_JuglansKCN-1a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	induced
sample 4	Juglans regia	seed	not applicable	not applicable	2	run 17	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_JuglansKCN-2a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	induced
sample 4	Juglans regia	seed	not applicable	not applicable	3	run 18	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_JuglansKCN-3a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	induced
sample 4	Juglans regia	seed	not applicable	not applicable	4	run 19	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_JuglansKCN-4a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	induced
sample 4	Juglans regia	seed	not applicable	not applicable	5	run 20	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220824_JuglansKCN-5b	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	induced
