source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[quenching reagent]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
PXD040705-sample	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	not available	not available	1	synthetic	reference	not available	26.4 Å	not available	not available	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj1-rt100.mzML	proteomic profiling by mass spectrometry	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj1-rt100.mzML	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBU;AC=XLMOD:02043;CL=yes;TA=K,S,T,Y,nterm;MH=85.05;ML=111.03	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040705-sample	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	not available	not available	1	synthetic	reference	not available	26.4 Å	not available	not available	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj1-rt100	proteomic profiling by mass spectrometry	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj1-rt100.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBU;AC=XLMOD:02043;CL=yes;TA=K,S,T,Y,nterm;MH=85.05;ML=111.03	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040705-sample	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	not available	not available	1	synthetic	reference	not available	26.4 Å	not available	not available	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj2-rt205-previous-method.mzML	proteomic profiling by mass spectrometry	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj2-rt205-previous-method.mzML	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBU;AC=XLMOD:02043;CL=yes;TA=K,S,T,Y,nterm;MH=85.05;ML=111.03	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040705-sample	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	not available	not available	1	synthetic	reference	not available	26.4 Å	not available	not available	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj2-rt205-previous-method	proteomic profiling by mass spectrometry	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj2-rt205-previous-method.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBU;AC=XLMOD:02043;CL=yes;TA=K,S,T,Y,nterm;MH=85.05;ML=111.03	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040705-sample	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	not available	not available	1	synthetic	reference	not available	26.4 Å	not available	not available	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj2-rt205.mzML	proteomic profiling by mass spectrometry	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj2-rt205.mzML	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBU;AC=XLMOD:02043;CL=yes;TA=K,S,T,Y,nterm;MH=85.05;ML=111.03	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040705-sample	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	not available	not available	1	synthetic	reference	not available	26.4 Å	not available	not available	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj2-rt205	proteomic profiling by mass spectrometry	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj2-rt205.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBU;AC=XLMOD:02043;CL=yes;TA=K,S,T,Y,nterm;MH=85.05;ML=111.03	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040705-sample	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	not available	not available	1	synthetic	reference	not available	26.4 Å	not available	not available	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj2-rt205_20190512024548.mzML	proteomic profiling by mass spectrometry	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj2-rt205_20190512024548.mzML	1	7	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBU;AC=XLMOD:02043;CL=yes;TA=K,S,T,Y,nterm;MH=85.05;ML=111.03	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040705-sample	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	not available	not available	1	synthetic	reference	not available	26.4 Å	not available	not available	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj2-rt205_20190512024548	proteomic profiling by mass spectrometry	20190510-hjk-DSBU-4-dialyzed-hir-complex-preSEC-inj2-rt205_20190512024548.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBU;AC=XLMOD:02043;CL=yes;TA=K,S,T,Y,nterm;MH=85.05;ML=111.03	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040705-sample	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	not available	not available	1	synthetic	reference	not available	26.4 Å	not available	not available	20190516-hjk-hir-complex-only-DSBU-A10.mzML	proteomic profiling by mass spectrometry	20190516-hjk-hir-complex-only-DSBU-A10.mzML	1	9	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBU;AC=XLMOD:02043;CL=yes;TA=K,S,T,Y,nterm;MH=85.05;ML=111.03	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040705-sample	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	not available	not available	1	synthetic	reference	not available	26.4 Å	not available	not available	20190516-hjk-hir-complex-only-DSBU-A10	proteomic profiling by mass spectrometry	20190516-hjk-hir-complex-only-DSBU-A10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSBU;AC=XLMOD:02043;CL=yes;TA=K,S,T,Y,nterm;MH=85.05;ML=111.03	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
