source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[sampling time]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[reduction reagent]	comment[alkylation reagent]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[treatment]	factor value[sampling time]
Lmono_EGDe_untreated_0h_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	untreated	0 hour	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-14T10:11:38	1	1	HdB7_Control_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	untreated	0 hour
Lmono_EGDe_untreated_0h_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	untreated	0 hour	not pooled	2	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-14T12:02:56	1	1	HdB8_Control_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	untreated	0 hour
Lmono_EGDe_untreated_0h_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	untreated	0 hour	not pooled	3	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-14T13:52:56	1	1	HdB9_Control_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	untreated	0 hour
Lmono_EGDe_GLA3_15min_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin, lower dose (deposit label GLA_3, concentration not stated)	15 minute	not pooled	1	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-14T15:42:18	1	1	HdB10_GLA_3_15min_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin, lower dose (deposit label GLA_3, concentration not stated)	15 minute
Lmono_EGDe_GLA3_15min_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin, lower dose (deposit label GLA_3, concentration not stated)	15 minute	not pooled	2	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-14T17:31:37	1	1	HdB11_GLA_3_15min_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin, lower dose (deposit label GLA_3, concentration not stated)	15 minute
Lmono_EGDe_GLA3_15min_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin, lower dose (deposit label GLA_3, concentration not stated)	15 minute	not pooled	3	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-14T19:21:17	1	1	HdB12_GLA_3_15min_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin, lower dose (deposit label GLA_3, concentration not stated)	15 minute
Lmono_EGDe_GLA3_30min_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin, lower dose (deposit label GLA_3, concentration not stated)	30 minute	not pooled	1	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-14T21:10:17	1	1	HdB13_GLA_3_30min_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin, lower dose (deposit label GLA_3, concentration not stated)	30 minute
Lmono_EGDe_GLA3_30min_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin, lower dose (deposit label GLA_3, concentration not stated)	30 minute	not pooled	2	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-14T22:59:20	1	1	HdB14_GLA_3_30min_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin, lower dose (deposit label GLA_3, concentration not stated)	30 minute
Lmono_EGDe_GLA3_30min_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin, lower dose (deposit label GLA_3, concentration not stated)	30 minute	not pooled	3	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-15T00:48:16	1	1	HdB15_GLA_3_30min_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin, lower dose (deposit label GLA_3, concentration not stated)	30 minute
Lmono_EGDe_GLA3_1h_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin, lower dose (deposit label GLA_3, concentration not stated)	1 hour	not pooled	1	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-15T02:37:16	1	1	HdB16_GLA_3_1h_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin, lower dose (deposit label GLA_3, concentration not stated)	1 hour
