source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
bovine_bladder_swath_rep1	Bos taurus	urinary bladder	not applicable	normal	not available	not available	not available	not available	tissue	1	bovine_bladder_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191207_SWATH_SP867_Bladder_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=urinary bladder;AC=UBERON:0001255
bovine_bladder_swath_rep2	Bos taurus	urinary bladder	not applicable	normal	not available	not available	not available	not available	tissue	2	bovine_bladder_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191207_SWATH_SP868_Bladder_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=urinary bladder;AC=UBERON:0001255
bovine_bladder_swath_rep3	Bos taurus	urinary bladder	not applicable	normal	not available	not available	not available	not available	tissue	3	bovine_bladder_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191207_SWATH_SP869_Bladder_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=urinary bladder;AC=UBERON:0001255
bovine_bladder_swath_rep4	Bos taurus	urinary bladder	not applicable	normal	not available	not available	not available	not available	tissue	4	bovine_bladder_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191207_SWATH_SP870_Bladder_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=urinary bladder;AC=UBERON:0001255
bovine_brain_swath_rep1	Bos taurus	brain	not applicable	normal	not available	not available	not available	not available	tissue	1	bovine_brain_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191203_SWATH_SP835_Brain_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=brain;AC=UBERON:0000955
bovine_brain_swath_rep2	Bos taurus	brain	not applicable	normal	not available	not available	not available	not available	tissue	2	bovine_brain_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191203_SWATH_SP836_Brain_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=brain;AC=UBERON:0000955
bovine_brain_swath_rep3	Bos taurus	brain	not applicable	normal	not available	not available	not available	not available	tissue	3	bovine_brain_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191203_SWATH_SP837_Brain_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=brain;AC=UBERON:0000955
bovine_brain_swath_rep4	Bos taurus	brain	not applicable	normal	not available	not available	not available	not available	tissue	4	bovine_brain_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191203_SWATH_SP838_Brain_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=brain;AC=UBERON:0000955
bovine_cervix_swath_rep1	Bos taurus	uterine cervix	not applicable	normal	not available	not available	not available	not available	tissue	1	bovine_cervix_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191207_SWATH_SP863_Cervix_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=uterine cervix;AC=UBERON:0000002
bovine_cervix_swath_rep2	Bos taurus	uterine cervix	not applicable	normal	not available	not available	not available	not available	tissue	2	bovine_cervix_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191207_SWATH_SP864_Cervix_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=uterine cervix;AC=UBERON:0000002
