source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[cell type]	characteristics[condition]	characteristics[spiked compound]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[study group]	comment[acquisition branch]	comment[replicate label]	comment[replicate provenance]	comment[annotation source]	comment[annotation provenance]	comment[annotation scope]	comment[sdrf template]	factor value[condition]
PXD044981_UPS2_10x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	10x	CT=mixture;CN=UPS2	B000250_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	B000250_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DIA.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000250_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DIA.raw	PXD044981	DIA	1	author-reported technical repeats; DDA 1-3 and DIA 4-6 are curator-assigned unique measurement identifiers; original within-arm label retained separately	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=dia-acquisition;VV=v1.1.0	10x
PXD044981_UPS2_5x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	5x	CT=mixture;CN=UPS2	B000254_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	B000254_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000254_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA.raw	PXD044981	DIA	1	author-reported technical repeats; DDA 1-3 and DIA 4-6 are curator-assigned unique measurement identifiers; original within-arm label retained separately	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=dia-acquisition;VV=v1.1.0	5x
PXD044981_UPS2_2.5x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	2.5x	CT=mixture;CN=UPS2	B000258_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	B000258_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000258_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA.raw	PXD044981	DIA	1	author-reported technical repeats; DDA 1-3 and DIA 4-6 are curator-assigned unique measurement identifiers; original within-arm label retained separately	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=dia-acquisition;VV=v1.1.0	2.5x
PXD044981_UPS2_1.25x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	1.25x	CT=mixture;CN=UPS2	B000262_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	B000262_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000262_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA.raw	PXD044981	DIA	1	author-reported technical repeats; DDA 1-3 and DIA 4-6 are curator-assigned unique measurement identifiers; original within-arm label retained separately	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=dia-acquisition;VV=v1.1.0	1.25x
PXD044981_UPS2_1x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	1x	CT=mixture;CN=UPS2	B000266_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	4	1	B000266_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DIA.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000266_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DIA.raw	PXD044981	DIA	1	author-reported technical repeats; DDA 1-3 and DIA 4-6 are curator-assigned unique measurement identifiers; original within-arm label retained separately	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=dia-acquisition;VV=v1.1.0	1x
PXD044981_UPS2_10x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	10x	CT=mixture;CN=UPS2	B000274_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DIA_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	B000274_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DIA_2.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000274_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DIA_2.raw	PXD044981	DIA	2	author-reported technical repeats; DDA 1-3 and DIA 4-6 are curator-assigned unique measurement identifiers; original within-arm label retained separately	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=dia-acquisition;VV=v1.1.0	10x
PXD044981_UPS2_5x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	5x	CT=mixture;CN=UPS2	B000278_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	B000278_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA_2.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000278_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA_2.raw	PXD044981	DIA	2	author-reported technical repeats; DDA 1-3 and DIA 4-6 are curator-assigned unique measurement identifiers; original within-arm label retained separately	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=dia-acquisition;VV=v1.1.0	5x
PXD044981_UPS2_2.5x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	2.5x	CT=mixture;CN=UPS2	B000282_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	B000282_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA_2.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000282_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA_2.raw	PXD044981	DIA	2	author-reported technical repeats; DDA 1-3 and DIA 4-6 are curator-assigned unique measurement identifiers; original within-arm label retained separately	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=dia-acquisition;VV=v1.1.0	2.5x
PXD044981_UPS2_1.25x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	1.25x	CT=mixture;CN=UPS2	B000286_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	B000286_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA_2.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000286_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA_2.raw	PXD044981	DIA	2	author-reported technical repeats; DDA 1-3 and DIA 4-6 are curator-assigned unique measurement identifiers; original within-arm label retained separately	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=dia-acquisition;VV=v1.1.0	1.25x
PXD044981_UPS2_1x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	1x	CT=mixture;CN=UPS2	B000290_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DIA_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	B000290_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DIA_2.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000290_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DIA_2.raw	PXD044981	DIA	2	author-reported technical repeats; DDA 1-3 and DIA 4-6 are curator-assigned unique measurement identifiers; original within-arm label retained separately	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=dia-acquisition;VV=v1.1.0	1x
