source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
PXD045910-Sample-1	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220212_FGU13_A-CS1_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220212_FGU13_A-CS1_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-2	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220212_FGU13_A-CS3_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220212_FGU13_A-CS3_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-3	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220212_FGU13_A-HS3_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220212_FGU13_A-HS3_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-4	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220212_FGU13_B-CS3_6uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220212_FGU13_B-CS3_6uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-5	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220212_FGU13_B-HS3_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220212_FGU13_B-HS3_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-6	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220212_FGU13_B-HS4_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220212_FGU13_B-HS4_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-7	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220212_FGU13_C-CS1_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220212_FGU13_C-CS1_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-8	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220212_FGU13_C-CS2_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220212_FGU13_C-CS2_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-9	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220212_FGU13_C-CS3_6uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220212_FGU13_C-CS3_6uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-10	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220212_FGU13_C-CS4_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220212_FGU13_C-CS4_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
