source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	factor value[subcellular fraction]
sample 1	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	1	run 1	proteomic profiling by mass spectrometry	1	200207_KM1_LYZ42_01.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell
sample 1	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	1	run 2	proteomic profiling by mass spectrometry	2	200207_KM1_LYZ42_02.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell
sample 1	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	2	run 3	proteomic profiling by mass spectrometry	1	200207_KM5_LYZ44_01.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell
sample 1	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	2	run 4	proteomic profiling by mass spectrometry	2	200207_KM5_LYZ44_02.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell
sample 1	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	3	run 5	proteomic profiling by mass spectrometry	1	200207_KM9_LYZ45_01.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell
sample 1	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	3	run 6	proteomic profiling by mass spectrometry	2	200207_KM9_LYZ45_02.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell
sample 2	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	1	run 7	proteomic profiling by mass spectrometry	1	200207_KM2_CYT42_01.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytoplasm
sample 2	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	1	run 8	proteomic profiling by mass spectrometry	2	200207_KM2_CYT42_02.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytoplasm
sample 2	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	2	run 9	proteomic profiling by mass spectrometry	1	200207_KM6_CYT44_01.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytoplasm
sample 2	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	2	run 10	proteomic profiling by mass spectrometry	2	200207_KM6_CYT44_02.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytoplasm
sample 2	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	3	run 11	proteomic profiling by mass spectrometry	1	200207_KM10_CYT45_01.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytoplasm
sample 2	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	3	run 12	proteomic profiling by mass spectrometry	2	200207_KM10_CYT45_02.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytoplasm
sample 3	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	1	run 13	proteomic profiling by mass spectrometry	1	200207_KM3_MEM42_01.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	membrane
sample 3	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	1	run 14	proteomic profiling by mass spectrometry	2	200207_KM3_MEM42_02.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	membrane
sample 3	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	2	run 15	proteomic profiling by mass spectrometry	1	200207_KM7_MEM44_01.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	membrane
sample 3	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	2	run 16	proteomic profiling by mass spectrometry	2	200207_KM7_MEM44_02.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	membrane
sample 3	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	3	run 17	proteomic profiling by mass spectrometry	1	200207_KM11_MEM45_02.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	membrane
sample 3	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	3	run 18	proteomic profiling by mass spectrometry	2	200207_KM11_MEM45_03.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	membrane
sample 4	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	1	run 19	proteomic profiling by mass spectrometry	1	200207_KM4_CW42_02.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell wall
sample 4	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	1	run 20	proteomic profiling by mass spectrometry	2	200207_KM4_CW42_03.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell wall
sample 4	Mycolicibacterium smegmatis	not applicable	not applicable	not applicable	2	run 21	proteomic profiling by mass spectrometry	1	200207_KM8_CW44_01.raw	1	label free sample	ltq orbitrap elite	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell wall
