source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20240124_Exp_KRIS_UKE_17_P46_FSGS_Exo	Homo sapiens	Urine	not available	not available	not available	1	20240124_Exp_KRIS_UKE_17_P46_FSGS_Exo	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	20240124_Exp_KRIS_UKE_17_P46_FSGS_Exo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Urine
20240124_Exp_KRIS_UKE_11_P49_PLA2R_Exo	Homo sapiens	Urine	not available	not available	not available	1	20240124_Exp_KRIS_UKE_11_P49_PLA2R_Exo	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	20240124_Exp_KRIS_UKE_11_P49_PLA2R_Exo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Urine
20240124_Exp_KRIS_UKE_16_P32_FSGS_Exo	Homo sapiens	Urine	not available	not available	not available	1	20240124_Exp_KRIS_UKE_16_P32_FSGS_Exo	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	20240124_Exp_KRIS_UKE_16_P32_FSGS_Exo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Urine
20240124_Exp_KRIS_UKE_19_P47_IgA_Tubulusschaden_Exo	Homo sapiens	Urine	not available	not available	not available	1	20240124_Exp_KRIS_UKE_19_P47_IgA_Tubulusschaden_Exo	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	20240124_Exp_KRIS_UKE_19_P47_IgA_Tubulusschaden_Exo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Urine
20240124_Exp_KRIS_UKE_15_P42_MCD_Exo	Homo sapiens	Urine	not available	not available	not available	1	20240124_Exp_KRIS_UKE_15_P42_MCD_Exo	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	20240124_Exp_KRIS_UKE_15_P42_MCD_Exo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Urine
20240124_Exp_KRIS_UKE_13_P28_MCD_Exo	Homo sapiens	Urine	not available	not available	not available	1	20240124_Exp_KRIS_UKE_13_P28_MCD_Exo	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	20240124_Exp_KRIS_UKE_13_P28_MCD_Exo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Urine
20240124_Exp_KRIS_UKE_14_P30_MCD_Exo	Homo sapiens	Urine	not available	not available	not available	1	20240124_Exp_KRIS_UKE_14_P30_MCD_Exo	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	20240124_Exp_KRIS_UKE_14_P30_MCD_Exo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Urine
20240124_Exp_KRIS_UKE_12_P55_PLA2R_Exo	Homo sapiens	Urine	not available	not available	not available	1	20240124_Exp_KRIS_UKE_12_P55_PLA2R_Exo	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	20240124_Exp_KRIS_UKE_12_P55_PLA2R_Exo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Urine
20240124_Exp_KRIS_UKE_18_P43_IgA_Exo	Homo sapiens	Urine	not available	not available	not available	1	20240124_Exp_KRIS_UKE_18_P43_IgA_Exo	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	20240124_Exp_KRIS_UKE_18_P43_IgA_Exo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Urine
20240124_Exp_KRIS_UKE_9_P18_PLA2R_U1_Exo	Homo sapiens	Urine	not available	not available	not available	1	20240124_Exp_KRIS_UKE_9_P18_PLA2R_U1_Exo	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	20240124_Exp_KRIS_UKE_9_P18_PLA2R_U1_Exo.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Urine
