source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20230911_AW_MouseMetaExtRerun_DIA_DC1_1_2185.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DC1_1_2185.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DC1_1_2185.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DC1_1_2185.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_DC2_1_2162.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DC2_1_2162.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DC2_1_2162.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DC2_1_2162.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_DC3_1_2144.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DC3_1_2144.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DC3_1_2144.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DC3_1_2144.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_DC4_1_2183.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DC4_1_2183.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DC4_1_2183.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DC4_1_2183.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_DC5_1_2169.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DC5_1_2169.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DC5_1_2169.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DC5_1_2169.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_DF10_1_1_2160.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DF10_1_1_2160.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DF10_1_1_2160.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DF10_1_1_2160.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_DF10_2_1_2164.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DF10_2_1_2164.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DF10_2_1_2164.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DF10_2_1_2164.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_DF10_3_1_2172.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DF10_3_1_2172.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DF10_3_1_2172.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DF10_3_1_2172.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_DF10_4_1_2177.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DF10_4_1_2177.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DF10_4_1_2177.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DF10_4_1_2177.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_DF10_5_1_2152.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DF10_5_1_2152.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DF10_5_1_2152.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DF10_5_1_2152.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_DF3_1_1_2196.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DF3_1_1_2196.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DF3_1_1_2196.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DF3_1_1_2196.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_DF3_2_1_2161.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DF3_2_1_2161.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DF3_2_1_2161.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DF3_2_1_2161.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_DF3_3_1_2155.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DF3_3_1_2155.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DF3_3_1_2155.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DF3_3_1_2155.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_DF3_4_1_2154.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DF3_4_1_2154.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DF3_4_1_2154.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DF3_4_1_2154.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_DF3_5_1_2195.d.7z	20230911_AW_MouseMetaExtRerun_DIA_DF3_5_1_2195.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_DF3_5_1_2195.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_DF3_5_1_2195.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_ND1_1_2173.d.7z	20230911_AW_MouseMetaExtRerun_DIA_ND1_1_2173.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_ND1_1_2173.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_ND1_1_2173.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_ND2_1_2187.d.7z	20230911_AW_MouseMetaExtRerun_DIA_ND2_1_2187.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_ND2_1_2187.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_ND2_1_2187.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_ND3_1_2178.d.7z	20230911_AW_MouseMetaExtRerun_DIA_ND3_1_2178.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_ND3_1_2178.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_ND3_1_2178.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_ND4_1_2163.d.7z	20230911_AW_MouseMetaExtRerun_DIA_ND4_1_2163.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_ND4_1_2163.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_ND4_1_2163.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_ND5_1_2179.d.7z	20230911_AW_MouseMetaExtRerun_DIA_ND5_1_2179.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_ND5_1_2179.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_ND5_1_2179.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
20230911_AW_MouseMetaExtRerun_DIA_NF10_1_1_2176.d.7z	20230911_AW_MouseMetaExtRerun_DIA_NF10_1_1_2176.d.7z	Mus musculus	feces	not applicable	not available	Mouse_Fecal_Metaproteomics_-_DIA	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	20230911_AW_MouseMetaExtRerun_DIA_NF10_1_1_2176.d.7z	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro 2;AC=MS:1003230	not applicable	not available	1	1	20230911_AW_MouseMetaExtRerun_DIA_NF10_1_1_2176.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
