source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[age]	characteristics[ancestry category]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
PDX_PTUM_KO_2674	Homo sapiens	mammary gland	not applicable	tissue	triple-negative breast carcinoma	adult	not available	not available	not available	not available	DAPK3 knockout	2674	Junkai_2674_PTUM_KO_1_1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	Junkai_2674_PTUM_KO_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	DAPK3 knockout
PDX_PTUM_KO_2675	Homo sapiens	mammary gland	not applicable	tissue	triple-negative breast carcinoma	adult	not available	not available	not available	not available	DAPK3 knockout	2675	Junkai_2675_PTUM_KO_1_1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	Junkai_2675_PTUM_KO_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	DAPK3 knockout
PDX_PTUM_KO_2679	Homo sapiens	mammary gland	not applicable	tissue	triple-negative breast carcinoma	adult	not available	not available	not available	not available	DAPK3 knockout	2679	Junkai_2679_PTUM_KO_1_1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	Junkai_2679_PTUM_KO_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	DAPK3 knockout
PDX_PTUM_WT_2668	Homo sapiens	mammary gland	not applicable	tissue	triple-negative breast carcinoma	adult	not available	not available	not available	not available	wild type	2668	Junkai_2668_PTUM_WT_1_1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	Junkai_2668_PTUM_WT_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
PDX_PTUM_KO_2677	Homo sapiens	mammary gland	not applicable	tissue	triple-negative breast carcinoma	adult	not available	not available	not available	not available	DAPK3 knockout	2677	Junkai_2677_PTUM_KO_1_1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	Junkai_2677_PTUM_KO_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	DAPK3 knockout
PDX_PTUM_KO_2678	Homo sapiens	mammary gland	not applicable	tissue	triple-negative breast carcinoma	adult	not available	not available	not available	not available	DAPK3 knockout	2678	Junkai_2678_PTUM_KO_1_1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	Junkai_2678_PTUM_KO_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	DAPK3 knockout
PDX_PTUM_WT_2666	Homo sapiens	mammary gland	not applicable	tissue	triple-negative breast carcinoma	adult	not available	not available	not available	not available	wild type	2666	Junkai_2666_PTUM_WT_1_1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	Junkai_2666_PTUM_WT_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
PDX_PTUM_WT_2670	Homo sapiens	mammary gland	not applicable	tissue	triple-negative breast carcinoma	adult	not available	not available	not available	not available	wild type	2670	Junkai_2670_PTUM_WT_1_1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	Junkai_2670_PTUM_WT_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
PDX_PTUM_KO_2680	Homo sapiens	mammary gland	not applicable	tissue	triple-negative breast carcinoma	adult	not available	not available	not available	not available	DAPK3 knockout	2680	Junkai_2680_PTUM_KO_1_1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	Junkai_2680_PTUM_KO_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	DAPK3 knockout
PDX_PTUM_WT_2667	Homo sapiens	mammary gland	not applicable	tissue	triple-negative breast carcinoma	adult	not available	not available	not available	not available	wild type	2667	Junkai_2667_PTUM_WT_1_1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	Junkai_2667_PTUM_WT_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
