source name	characteristics[organism]	characteristics[organism part]	characteristics[tissue supergroup]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[genotype]	characteristics[enrichment]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[fractionation method]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[enrichment]
PXD050244_TMT126	Homo sapiens	skin of body	skin of body	melanocyte	cell	melanoma	not available	not available	not available	not available	NRAS mutant	biotinylated peptide enrichment	study sample	not pooled	1	PXD050244_TMT126_20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	TMT126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin-HPDP;AC=UNIMOD:290;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	27 NCE	not applicable	Iodoacetamide (IAA)	not available	not available	1	1	20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	biotinylated peptide enrichment
PXD050244_TMT127N	Homo sapiens	skin of body	skin of body	melanocyte	cell	melanoma	not available	not available	not available	not available	NRAS mutant	biotinylated peptide enrichment	study sample	not pooled	1	PXD050244_TMT127N_20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	TMT127N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin-HPDP;AC=UNIMOD:290;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	27 NCE	not applicable	Iodoacetamide (IAA)	not available	not available	1	1	20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	biotinylated peptide enrichment
PXD050244_TMT127C	Homo sapiens	skin of body	skin of body	melanocyte	cell	melanoma	not available	not available	not available	not available	NRAS mutant	biotinylated peptide enrichment	study sample	not pooled	1	PXD050244_TMT127C_20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	TMT127C	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin-HPDP;AC=UNIMOD:290;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	27 NCE	not applicable	Iodoacetamide (IAA)	not available	not available	1	1	20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	biotinylated peptide enrichment
PXD050244_TMT128N	Homo sapiens	skin of body	skin of body	melanocyte	cell	melanoma	not available	not available	not available	not available	NRAS mutant	biotinylated peptide enrichment	study sample	not pooled	1	PXD050244_TMT128N_20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	TMT128N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin-HPDP;AC=UNIMOD:290;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	27 NCE	not applicable	Iodoacetamide (IAA)	not available	not available	1	1	20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	biotinylated peptide enrichment
PXD050244_TMT128C	Homo sapiens	skin of body	skin of body	melanocyte	cell	melanoma	not available	not available	not available	not available	NRAS mutant	biotinylated peptide enrichment	study sample	not pooled	1	PXD050244_TMT128C_20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	TMT128C	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin-HPDP;AC=UNIMOD:290;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	27 NCE	not applicable	Iodoacetamide (IAA)	not available	not available	1	1	20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	biotinylated peptide enrichment
PXD050244_TMT129N	Homo sapiens	skin of body	skin of body	melanocyte	cell	melanoma	not available	not available	not available	not available	NRAS mutant	biotinylated peptide enrichment	study sample	not pooled	1	PXD050244_TMT129N_20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	TMT129N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin-HPDP;AC=UNIMOD:290;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	27 NCE	not applicable	Iodoacetamide (IAA)	not available	not available	1	1	20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	biotinylated peptide enrichment
PXD050244_TMT129C	Homo sapiens	skin of body	skin of body	melanocyte	cell	melanoma	not available	not available	not available	not available	NRAS mutant	biotinylated peptide enrichment	study sample	not pooled	1	PXD050244_TMT129C_20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	TMT129C	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin-HPDP;AC=UNIMOD:290;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	27 NCE	not applicable	Iodoacetamide (IAA)	not available	not available	1	1	20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	biotinylated peptide enrichment
PXD050244_TMT130N	Homo sapiens	skin of body	skin of body	melanocyte	cell	melanoma	not available	not available	not available	not available	NRAS mutant	biotinylated peptide enrichment	study sample	not pooled	1	PXD050244_TMT130N_20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	TMT130N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin-HPDP;AC=UNIMOD:290;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	27 NCE	not applicable	Iodoacetamide (IAA)	not available	not available	1	1	20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	biotinylated peptide enrichment
PXD050244_TMT130C	Homo sapiens	skin of body	skin of body	melanocyte	cell	melanoma	not available	not available	not available	not available	NRAS mutant	biotinylated peptide enrichment	study sample	not pooled	1	PXD050244_TMT130C_20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	TMT130C	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin-HPDP;AC=UNIMOD:290;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	27 NCE	not applicable	Iodoacetamide (IAA)	not available	not available	1	1	20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	biotinylated peptide enrichment
PXD050244_TMT131	Homo sapiens	skin of body	skin of body	melanocyte	cell	melanoma	not available	not available	not available	not available	NRAS mutant	biotinylated peptide enrichment	study sample	not pooled	1	PXD050244_TMT131_20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	TMT131	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin-HPDP;AC=UNIMOD:290;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	27 NCE	not applicable	Iodoacetamide (IAA)	not available	not available	1	1	20210830_Premi_2xBiotinIP_Eluted_Peptides_TMT10plx.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	biotinylated peptide enrichment
PXD050244_TMT126	Homo sapiens	skin of body	skin of body	melanocyte	cell	melanoma	not available	not available	not available	not available	NRAS mutant	flow-through	study sample	not pooled	1	PXD050244_TMT126_20210902_Premi_IP_FT_Fractionation_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	TMT126	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin-HPDP;AC=UNIMOD:290;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	27 NCE	High-pH reversed-phase chromatography (hpHRP)	Iodoacetamide (IAA)	not available	not available	1	1	20210902_Premi_IP_FT_Fractionation_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	flow-through
PXD050244_TMT127N	Homo sapiens	skin of body	skin of body	melanocyte	cell	melanoma	not available	not available	not available	not available	NRAS mutant	flow-through	study sample	not pooled	1	PXD050244_TMT127N_20210902_Premi_IP_FT_Fractionation_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	TMT127N	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin-HPDP;AC=UNIMOD:290;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	27 NCE	High-pH reversed-phase chromatography (hpHRP)	Iodoacetamide (IAA)	not available	not available	1	1	20210902_Premi_IP_FT_Fractionation_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	flow-through
PXD050244_TMT127C	Homo sapiens	skin of body	skin of body	melanocyte	cell	melanoma	not available	not available	not available	not available	NRAS mutant	flow-through	study sample	not pooled	1	PXD050244_TMT127C_20210902_Premi_IP_FT_Fractionation_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	TMT127C	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin-HPDP;AC=UNIMOD:290;TA=C;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	beam-type collision-induced dissociation	27 NCE	High-pH reversed-phase chromatography (hpHRP)	Iodoacetamide (IAA)	not available	not available	1	1	20210902_Premi_IP_FT_Fractionation_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	flow-through
