source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[isolation]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[modification parameters]	factor value[tissue]
sample 1	Arabidopsis thaliana	bud	not applicable	not available	1	crude	run1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	0	0	220629_Etienne_CB1	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	crude bud
sample 2	Arabidopsis thaliana	bud	not applicable	not available	0	crude	run2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	1	1	220629_Etienne_CB2_rpt2	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	crude bud
sample 3	Arabidopsis thaliana	bud	not applicable	not available	1	crude	run3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	2	1	220504_Etienne_CB2	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	crude bud
sample 4	Arabidopsis thaliana	bud	not applicable	not available	1	crude	run4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	0	0	220629_Etienne_CB3	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	crude bud
sample 5	Arabidopsis thaliana	bud	not applicable	not available	1	crude	run5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	0	0	220629_Etienne_CB4	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	crude bud
sample 6	Arabidopsis thaliana	pollen	not applicable	not available	1	crude	run6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	0	0	220629_Etienne_CP1	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	crude pollen
sample 7	Arabidopsis thaliana	pollen	not applicable	not available	1	crude	run7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	0	0	220629_Etienne_CP2	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	crude pollen
sample 8	Arabidopsis thaliana	pollen	not applicable	not available	1	crude	run8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	0	0	220629_Etienne_CP3	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	crude pollen
sample 9	Arabidopsis thaliana	pollen	not applicable	not available	1	crude	run9	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	0	0	220629_Etienne_CP4	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	crude pollen
sample 10	Arabidopsis thaliana	bud	not applicable	not available	1	imtact	run10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	0	0	220629_Etienne_IB1	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	imtact bud
