source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[material type]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231127zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20231127zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231130zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	2	A20231130zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231205zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	3	A20231205zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231208zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	4	A20231208zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231208zengl_ml_30min_iDIA_QCML_500ng_20231113ML_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	5	A20231208zengl_ml_30min_iDIA_QCML_500ng_20231113ML_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231211zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	6	A20231211zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231213zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	7	A20231213zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231217zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	8	A20231217zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231219zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	9	A20231219zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231222zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	10	A20231222zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231224zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	11	A20231224zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20231226zengl_ml_30min_iDIA_QCML_500ng_20231113ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	12	A20231226zengl_ml_30min_iDIA_QCML_500ng_20231113ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
