source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Sample 1	Clostridium pasteurianum	not available	not available	not applicable	not applicable	not available	1	run 1	proteomic profiling by mass spectrometry	1	1	20220512_T3_005.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=HCD; AC = PRIDE:0000590	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 2	Clostridium pasteurianum	not available	not available	not applicable	not applicable	not available	2	run 2	proteomic profiling by mass spectrometry	1	1	20220512_T3_006.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=HCD; AC = PRIDE:0000590	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 3	Clostridium pasteurianum	not available	not available	not applicable	not applicable	not available	3	run 3	proteomic profiling by mass spectrometry	1	1	20220512_T3_007.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=HCD; AC = PRIDE:0000590	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 4	Clostridium pasteurianum	not available	not available	not applicable	not applicable	not available	4	run 4	proteomic profiling by mass spectrometry	1	1	20220512_T3_008.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=HCD; AC = PRIDE:0000590	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 5	Clostridium pasteurianum	not available	not available	not applicable	not applicable	not available	5	run 5	proteomic profiling by mass spectrometry	1	1	20220512_T3_011.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=HCD; AC = PRIDE:0000590	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 6	Clostridium pasteurianum	not available	not available	not applicable	not applicable	not available	6	run 6	proteomic profiling by mass spectrometry	1	1	20220512_T3_012.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=HCD; AC = PRIDE:0000590	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 7	Clostridium pasteurianum	not available	not available	not applicable	not applicable	not available	7	run 7	proteomic profiling by mass spectrometry	1	1	20220512_T3_013.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=HCD; AC = PRIDE:0000590	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 8	Clostridium pasteurianum	not available	not available	not applicable	not applicable	not available	8	run 8	proteomic profiling by mass spectrometry	1	1	20220512_T3_014.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=HCD; AC = PRIDE:0000590	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 9	Clostridium pasteurianum	not available	not available	not applicable	not applicable	not available	9	run 9	proteomic profiling by mass spectrometry	1	1	20220512_T3_017.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=HCD; AC = PRIDE:0000590	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 10	Clostridium pasteurianum	not available	not available	not applicable	not applicable	not available	10	run 10	proteomic profiling by mass spectrometry	1	1	20220512_T3_018.raw	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=HCD; AC = PRIDE:0000590	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
