source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
BuiltIn.biom	BuiltIn.biom	Homo sapiens	Feces	not applicable	not available	Effects_of_grape_polyphenols_on_human_feces	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	BuiltIn.biom	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Dionex instrument model;AC=MS:1000491	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	BuiltIn.biom	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
BuiltIn.taxonomy.xml	BuiltIn.taxonomy.xml	Homo sapiens	Feces	not applicable	not available	Effects_of_grape_polyphenols_on_human_feces	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	BuiltIn.taxonomy.xml	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Dionex instrument model;AC=MS:1000491	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	BuiltIn.taxonomy.xml	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Genome.html	Genome.html	Homo sapiens	Feces	not applicable	not available	Effects_of_grape_polyphenols_on_human_feces	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Genome.html	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Dionex instrument model;AC=MS:1000491	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Genome.html	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Zhibin_20211209_Diana_TMT_P1A	Zhibin_20211209_Diana_TMT_P1A	Homo sapiens	Feces	not applicable	not available	Effects_of_grape_polyphenols_on_human_feces	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Zhibin_20211209_Diana_TMT_P1A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Dionex instrument model;AC=MS:1000491	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zhibin_20211209_Diana_TMT_P1A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Zhibin_20211209_Diana_TMT_P1B	Zhibin_20211209_Diana_TMT_P1B	Homo sapiens	Feces	not applicable	not available	Effects_of_grape_polyphenols_on_human_feces	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Zhibin_20211209_Diana_TMT_P1B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Dionex instrument model;AC=MS:1000491	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zhibin_20211209_Diana_TMT_P1B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Zhibin_20211209_Diana_TMT_P1C	Zhibin_20211209_Diana_TMT_P1C	Homo sapiens	Feces	not applicable	not available	Effects_of_grape_polyphenols_on_human_feces	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Zhibin_20211209_Diana_TMT_P1C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Dionex instrument model;AC=MS:1000491	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zhibin_20211209_Diana_TMT_P1C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Zhibin_20211209_Diana_TMT_P1D	Zhibin_20211209_Diana_TMT_P1D	Homo sapiens	Feces	not applicable	not available	Effects_of_grape_polyphenols_on_human_feces	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Zhibin_20211209_Diana_TMT_P1D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Dionex instrument model;AC=MS:1000491	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zhibin_20211209_Diana_TMT_P1D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Zhibin_20211209_Diana_TMT_P1E	Zhibin_20211209_Diana_TMT_P1E	Homo sapiens	Feces	not applicable	not available	Effects_of_grape_polyphenols_on_human_feces	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Zhibin_20211209_Diana_TMT_P1E	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Dionex instrument model;AC=MS:1000491	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zhibin_20211209_Diana_TMT_P1E.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Zhibin_20211209_Diana_TMT_P1F	Zhibin_20211209_Diana_TMT_P1F	Homo sapiens	Feces	not applicable	not available	Effects_of_grape_polyphenols_on_human_feces	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Zhibin_20211209_Diana_TMT_P1F	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Dionex instrument model;AC=MS:1000491	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zhibin_20211209_Diana_TMT_P1F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
Zhibin_20211209_Diana_TMT_P1G	Zhibin_20211209_Diana_TMT_P1G	Homo sapiens	Feces	not applicable	not available	Effects_of_grape_polyphenols_on_human_feces	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	Feces	not available	1	Zhibin_20211209_Diana_TMT_P1G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Dionex instrument model;AC=MS:1000491	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zhibin_20211209_Diana_TMT_P1G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Feces
