source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain or breed]	factor value[treatment]
pea_3358_Control_r1	Pisum sativum	root	not applicable	normal	sporophyte vegetative stage	k-3358	non-sterile soil, vegetation house, summer, ARRIAM St. Petersburg; 3 plants per 5 L pot	non-inoculated control	organism part	study sample	pooled	1	Pisumsativum_3358_Control_1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=radial ejection linear ion trap;AC=MS:1000083	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Pisumsativum_3358_Control_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	k-3358	non-inoculated control
pea_3358_Control_r2	Pisum sativum	root	not applicable	normal	sporophyte vegetative stage	k-3358	non-sterile soil, vegetation house, summer, ARRIAM St. Petersburg; 3 plants per 5 L pot	non-inoculated control	organism part	study sample	pooled	2	Pisumsativum_3358_Control_2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=radial ejection linear ion trap;AC=MS:1000083	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Pisumsativum_3358_Control_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	k-3358	non-inoculated control
pea_3358_Control_r3	Pisum sativum	root	not applicable	normal	sporophyte vegetative stage	k-3358	non-sterile soil, vegetation house, summer, ARRIAM St. Petersburg; 3 plants per 5 L pot	non-inoculated control	organism part	study sample	pooled	3	Pisumsativum_3358_Control_3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=radial ejection linear ion trap;AC=MS:1000083	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Pisumsativum_3358_Control_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	k-3358	non-inoculated control
pea_3358_nodulebacteria_r1	Pisum sativum	root	not applicable	normal	sporophyte vegetative stage	k-3358	non-sterile soil, vegetation house, summer, ARRIAM St. Petersburg; 3 plants per 5 L pot	Rhizobium leguminosarum bv. viciae RCAM 1026	organism part	study sample	pooled	1	Pisumsativum_3358_nodulebacteria_1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=radial ejection linear ion trap;AC=MS:1000083	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Pisumsativum_3358_nodulebacteria_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	k-3358	Rhizobium leguminosarum bv. viciae RCAM 1026
pea_3358_nodulebacteria_r2	Pisum sativum	root	not applicable	normal	sporophyte vegetative stage	k-3358	non-sterile soil, vegetation house, summer, ARRIAM St. Petersburg; 3 plants per 5 L pot	Rhizobium leguminosarum bv. viciae RCAM 1026	organism part	study sample	pooled	2	Pisumsativum_3358_nodulebacteria_2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=radial ejection linear ion trap;AC=MS:1000083	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Pisumsativum_3358_nodulebacteria_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	k-3358	Rhizobium leguminosarum bv. viciae RCAM 1026
pea_3358_nodulebacteria_r3	Pisum sativum	root	not applicable	normal	sporophyte vegetative stage	k-3358	non-sterile soil, vegetation house, summer, ARRIAM St. Petersburg; 3 plants per 5 L pot	Rhizobium leguminosarum bv. viciae RCAM 1026	organism part	study sample	pooled	3	Pisumsativum_3358_nodulebacteria_3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=radial ejection linear ion trap;AC=MS:1000083	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Pisumsativum_3358_nodulebacteria_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	k-3358	Rhizobium leguminosarum bv. viciae RCAM 1026
pea_3358_mineralnutrition_r1	Pisum sativum	root	not applicable	normal	sporophyte vegetative stage	k-3358	non-sterile soil, vegetation house, summer, ARRIAM St. Petersburg; 3 plants per 5 L pot	mineral nitrogen (ammonium nitrate)	organism part	study sample	pooled	1	Pisumsativum_3358_mineralnutrition_1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=radial ejection linear ion trap;AC=MS:1000083	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Pisumsativum_3358_mineralnutrition_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	k-3358	mineral nitrogen (ammonium nitrate)
pea_3358_mineralnutrition_r2	Pisum sativum	root	not applicable	normal	sporophyte vegetative stage	k-3358	non-sterile soil, vegetation house, summer, ARRIAM St. Petersburg; 3 plants per 5 L pot	mineral nitrogen (ammonium nitrate)	organism part	study sample	pooled	2	Pisumsativum_3358_mineralnutrition_2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=radial ejection linear ion trap;AC=MS:1000083	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Pisumsativum_3358_mineralnutrition_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	k-3358	mineral nitrogen (ammonium nitrate)
pea_3358_mineralnutrition_r3	Pisum sativum	root	not applicable	normal	sporophyte vegetative stage	k-3358	non-sterile soil, vegetation house, summer, ARRIAM St. Petersburg; 3 plants per 5 L pot	mineral nitrogen (ammonium nitrate)	organism part	study sample	pooled	3	Pisumsativum_3358_mineralnutrition_3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=radial ejection linear ion trap;AC=MS:1000083	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Pisumsativum_3358_mineralnutrition_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	k-3358	mineral nitrogen (ammonium nitrate)
pea_3358_NB_AMF_r1	Pisum sativum	root	not applicable	normal	sporophyte vegetative stage	k-3358	non-sterile soil, vegetation house, summer, ARRIAM St. Petersburg; 3 plants per 5 L pot	R. leguminosarum RCAM 1026 + AMF mixture	organism part	study sample	pooled	1	Pisumsativum_3358_arbuscularmycorrhizanodule_bacteria_1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=radial ejection linear ion trap;AC=MS:1000083	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Pisumsativum_3358_arbuscularmycorrhizanodule_bacteria_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	k-3358	R. leguminosarum RCAM 1026 + AMF mixture
