source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[sex]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[transfection]
LAP3 1	homo sapiens	Blood cells	not applicable	not applicable	K562	not applicable	not applicable	1	not applicable	16615	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	5817_Harhai_DIA_16615_140min_4ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	LAP3
LAP3 2	homo sapiens	Blood cells	not applicable	not applicable	K563	not applicable	not applicable	2	not applicable	16616	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	5816_Harhai_DIA_16616_140min_4ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	LAP3
LAP3 3	homo sapiens	Blood cells	not applicable	not applicable	K564	not applicable	not applicable	3	not applicable	16617	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	5815_Harhai_DIA_16617_140min_4ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	LAP3
LAP3 4	homo sapiens	Blood cells	not applicable	not applicable	K565	not applicable	not applicable	4	not applicable	16618	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	5814_Harhai_DIA_16618_140min_4ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	LAP3
FAM136A 1	homo sapiens	Blood cells	not applicable	not applicable	K566	not applicable	not applicable	5	not applicable	16619	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	5811_Harhai_DIA_16619_140min_4ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	FAM136A
FAM136A 2	homo sapiens	Blood cells	not applicable	not applicable	K567	not applicable	not applicable	6	not applicable	16620	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	5810_Harhai_DIA_16620_140min_4ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	FAM136A
FAM136A 3	homo sapiens	Blood cells	not applicable	not applicable	K568	not applicable	not applicable	7	not applicable	16621	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	5809_Harhai_DIA_16621_140min_4ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	FAM136A
FAM136A 4	homo sapiens	Blood cells	not applicable	not applicable	K569	not applicable	not applicable	8	not applicable	16622	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	5808_Harhai_DIA_16622_140min_4ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	FAM136A
Control 1	homo sapiens	Blood cells	not applicable	not applicable	K570	not applicable	not applicable	9	not applicable	16623	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	5805_Harhai_DIA_16623_140min_4ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Control
Control 2	homo sapiens	Blood cells	not applicable	not applicable	K571	not applicable	not applicable	10	not applicable	16624	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	5804_Harhai_DIA_16624_140min_4ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Control
Control 3	homo sapiens	Blood cells	not applicable	not applicable	K572	not applicable	not applicable	11	not applicable	16625	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	5803_Harhai_DIA_16625_140min_4ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Control
Control 4	homo sapiens	Blood cells	not applicable	not applicable	K573	not applicable	not applicable	12	not applicable	16626	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	5802_Harhai_DIA_16626_140min_4ul.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Control
