source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[tool metadata]
KO+AK Dys -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	1	S_Brandenburg_310323_110423_DIA_A_02_BC2_1_9974	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_A_02_BC2_1_9974.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK IgG -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	1	S_Brandenburg_310323_110423_DIA_A_03_BC3_1_9975	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_A_03_BC3_1_9975.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK Dys +Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	1	S_Brandenburg_310323_110423_DIA_A_04_BC4_1_9976	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_A_04_BC4_1_9976.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
KO+AK Dys +Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	1	S_Brandenburg_310323_110423_DIA_A_05_BC5_1_9977	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_A_05_BC5_1_9977.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK Dys -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	2	S_Brandenburg_310323_110423_DIA_A_06_BC6_1_9978	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_A_06_BC6_1_9978.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
KO+AK Dys -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	2	S_Brandenburg_310323_110423_DIA_A_07_BC7_1_9979	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_A_07_BC7_1_9979.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK IgG -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	2	S_Brandenburg_310323_110423_DIA_A_08_BC8_1_9980	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_A_08_BC8_1_9980.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK Dys +Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	2	S_Brandenburg_310323_110423_DIA_A_09_BD1_1_9981	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_A_09_BD1_1_9981.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
KO+AK Dys +Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	2	S_Brandenburg_310323_110423_DIA_A_10_BD2_1_9982	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_A_10_BD2_1_9982.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK Dys -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	3	S_Brandenburg_310323_110423_DIA_A_11_BD3_1_9983	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_A_11_BD3_1_9983.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
