source name	characteristics[organism part]	characteristics[disease]	characteristics[organism]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[data file]	comment[proteomics data acquisition method]	comment[technical replicate]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
721221_minigene_KRASG12V_A0301_discovery	blood	lymphoma	Homo sapiens	not available	not available	not available	not available	721221	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	not applicable	895	QEP2_12889_YSA_895_1_101220.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	lymphoma
Calu6_I_Immunopeptidomics_DMSO 1 HLA-I_discovery	lung	NSCLC	Homo sapiens	not available	not available	61Y	female	Calu6	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	timsTOF	not applicable	2098	TTU_YS_22365_2098_09092024_9-10-2024_1900.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NSCLC
Calu6_I_Immunopeptidomics_DMSO 2 HLA-I_discovery	lung	NSCLC	Homo sapiens	not available	not available	61Y	female	Calu6	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	timsTOF	not applicable	2099	TTU_YS_22365_2099_09092024_9-9-2024_1896.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NSCLC
Calu6_I_Immunopeptidomics_DMSO 3 HLA-I_discovery	lung	NSCLC	Homo sapiens	not available	not available	61Y	female	Calu6	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	timsTOF	not applicable	2100	TTU_YS_22365_2100_09092024_9-10-2024_1899.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NSCLC
Calu6_I_Immunopeptidomics_CHEMO 1 HLA-I_discovery	lung	NSCLC	Homo sapiens	not available	not available	61Y	female	Calu6	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	timsTOF	not applicable	2101	TTU_YS_22365_2101_09092024_9-10-2024_1898.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NSCLC
Calu6_I_Immunopeptidomics_CHEMO 2 HLA-I_discovery	lung	NSCLC	Homo sapiens	not available	not available	61Y	female	Calu6	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	timsTOF	not applicable	2102	TTU_YS_22365_2102_09092024_9-9-2024_1895.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NSCLC
Calu6_I_Immunopeptidomics_CHEMO 3 HLA-I_discovery	lung	NSCLC	Homo sapiens	not available	not available	61Y	female	Calu6	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	timsTOF	not applicable	2103	TTU_YS_22365_2103_09092024_9-9-2024_1897.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NSCLC
Calu6_I_Immunopeptidomics_DMSO 1 HLA-I_targeted	lung	NSCLC	Homo sapiens	not available	not available	61Y	female	Calu6	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	label	timsTOF	not applicable	2098	TTU_YS_22366_2098_p38_05092024_9-6-2024_1870.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NSCLC
Calu6_I_Immunopeptidomics_DMSO 2 HLA-I_targeted	lung	NSCLC	Homo sapiens	not available	not available	61Y	female	Calu6	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	label	timsTOF	not applicable	2099	TTU_YS_22366_2099_p38_05092024_b_9-9-2024_1890.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NSCLC
Calu6_I_Immunopeptidomics_DMSO 3 HLA-I_targeted	lung	NSCLC	Homo sapiens	not available	not available	61Y	female	Calu6	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	label	timsTOF	not applicable	2100	TTU_YS_22366_2100_p38_05092024_9-6-2024_1868.d.zip.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NSCLC
