source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[individual]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[cleavage agent details].1	comment[modification parameters].1	comment[modification parameters].2	comment[tool metadata]
87_NCLAOTr1_1	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	1	not available	1	AO_1_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	1	87_NCLAOTr1_1.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
87_NCLAOTr1_2	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	1	not available	1	AO_1_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	2	87_NCLAOTr1_2.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
87_NCLAOTr1_3	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	1	not available	1	AO_1_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	3	87_NCLAOTr1_3.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
88_NCLAOTr2_1	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	2	not available	1	AO_2_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	1	88_NCLAOTr2_1.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
88_NCLAOTr2_2	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	2	not available	1	AO_2_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	2	88_NCLAOTr2_2.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
88_NCLAOTr2_3	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	2	not available	1	AO_2_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	3	88_NCLAOTr2_3.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
89_NCLAOTr3_1	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	3	not available	1	AO_3_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	1	89_NCLAOTr3_1.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
89_NCLAOTr3_2	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	3	not available	1	AO_3_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	2	89_NCLAOTr3_2.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
89_NCLAOTr3_3	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	3	not available	1	AO_3_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	3	89_NCLAOTr3_3.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
90_NCLPOTr1_1	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	1	not available	1	PO_1_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	1	90_NCLPOTr1_1.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
90_NCLPOTr1_2	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	1	not available	1	PO_1_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	2	90_NCLPOTr1_2.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
90_NCLPOTr1_3	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	1	not available	1	PO_1_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	3	90_NCLPOTr1_3.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
91_NCLPOTr2_1	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	2	not available	1	PO_2_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	1	91_NCLPOTr2_1.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
91_NCLPOTr2_2	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	2	not available	1	PO_2_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	2	91_NCLPOTr2_2.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
91_NCLPOTr2_3	NT=Homo sapiens;AC=NCBITaxon:9606	proximal tubule	cultured cell	NT=normal;AC=PATO:0000461	not available	not available	2	not available	1	PO_2_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	Q Exactive HF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	8 ppm	20 ppm	1	3	91_NCLPOTr2_3.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	NT=Lys-C; CS='(?<=K)(?\!P)'	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Acetyl;AC=1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	lesSDRF v0.1.0
