source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[disease]	assay name	technology type	comment[data file]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	Sr No.	MS sample code description	Sample ID	factor value[organism part]
M01_1	Mus musculus	Breast	1	not available	not available	M01_1	proteomic profiling by mass spectrometry	M01_1.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	1	Control sample, biological replicate 1, technical replicate 1	F1	Breast
M01_2	Mus musculus	Breast	1	not available	not available	M01_2	proteomic profiling by mass spectrometry	M01_2.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	2	Control sample, biological replicate 1, technical replicate 2	F2	Breast
M01_3	Mus musculus	Breast	1	not available	not available	M01_3	proteomic profiling by mass spectrometry	M01_3.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	3	Control sample, biological replicate 1, technical replicate 3	F3	Breast
M02_1	Mus musculus	Breast	1	not available	not available	M02_1	proteomic profiling by mass spectrometry	M02_1.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	4	Control sample, biological replicate 2, technical replicate 1	F4	Breast
M02_2	Mus musculus	Breast	1	not available	not available	M02_2	proteomic profiling by mass spectrometry	M02_2.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	5	Control sample, biological replicate 2, technical replicate 2	F5	Breast
M02_3	Mus musculus	Breast	1	not available	not available	M02_3	proteomic profiling by mass spectrometry	M02_3.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	6	Control sample, biological replicate 2, technical replicate 3	F6	Breast
M03_1	Mus musculus	Breast	1	not available	not available	M03_1	proteomic profiling by mass spectrometry	M03_1.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	7	Control sample, biological replicate 3, technical replicate 1	F7	Breast
M03_2	Mus musculus	Breast	1	not available	not available	M03_2	proteomic profiling by mass spectrometry	M03_2.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	8	Control sample, biological replicate 3, technical replicate 2	F8	Breast
M03_3	Mus musculus	Breast	1	not available	not available	M03_3	proteomic profiling by mass spectrometry	M03_3.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	9	Control sample, biological replicate 3, technical replicate 3	F9	Breast
M04_1	Mus musculus	Breast	1	not available	not available	M04_1	proteomic profiling by mass spectrometry	M04_1.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	10	Treatment sample, biological replicate 1, technical replicate 1	F10	Breast
M04_2	Mus musculus	Breast	1	not available	not available	M04_2	proteomic profiling by mass spectrometry	M04_2.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	11	Treatment sample, biological replicate 1, technical replicate 2	F11	Breast
M04_3	Mus musculus	Breast	1	not available	not available	M04_3	proteomic profiling by mass spectrometry	M04_3.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	12	Treatment sample, biological replicate 1, technical replicate 3	F12	Breast
M05_1	Mus musculus	Breast	1	not available	not available	M05_1	proteomic profiling by mass spectrometry	M05_1.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	13	Treatment sample, biological replicate 2, technical replicate 1	F13	Breast
M05_2	Mus musculus	Breast	1	not available	not available	M05_2	proteomic profiling by mass spectrometry	M05_2.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	14	Treatment sample, biological replicate 2, technical replicate 2	F14	Breast
M05_3	Mus musculus	Breast	1	not available	not available	M05_3	proteomic profiling by mass spectrometry	M05_3.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	15	Treatment sample, biological replicate 2, technical replicate 3	F15	Breast
