source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[genotype]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[genotype]
iN-APOE3-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	APOE3	cell	1	run 220104_072_LMF1_7_E3_1_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	220104_072_LMF1_7_E3_1_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE3
iN-APOE4-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	APOE4	cell	1	run 220104_074_LMF1_13_E4_1_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	220104_074_LMF1_13_E4_1_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE4
iN-APOE2-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	APOE2	cell	1	run 220104_076_LMF1_1_E2_1_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	220104_076_LMF1_1_E2_1_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE2
iN-APOE3-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	APOE3	cell	2	run 220104_078_LMF1_8_E3_2_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	220104_078_LMF1_8_E3_2_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE3
iN-APOE4-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	APOE4	cell	2	run 220104_080_LMF1_14_E4_2_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	220104_080_LMF1_14_E4_2_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE4
iN-APOE2-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	APOE2	cell	2	run 220104_084_LMF1_2_E2_2_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	220104_084_LMF1_2_E2_2_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE2
iN-APOE3-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	APOE3	cell	3	run 220104_086_LMF1_9_E3_3_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	220104_086_LMF1_9_E3_3_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE3
iN-APOE4-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	APOE4	cell	3	run 220104_088_LMF1_15_E4_3_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	220104_088_LMF1_15_E4_3_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE4
iN-APOE2-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	APOE2	cell	3	run 220104_090_LMF1_3_E2_3_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	220104_090_LMF1_3_E2_3_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE2
iN-APOE3-r4	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	APOE3	cell	4	run 220104_092_LMF1_10_E3_4_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	220104_092_LMF1_10_E3_4_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE3
