source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	comment[ms min charge]	comment[ms max charge]	comment[ms1 scan range]	comment[ms2 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[source name]
MB38_A375_MAE	Homo sapiens	not applicable	not available	1	amelanotic melanoma	cell line	mild acid elution	54Y	female	adult	not applicable	A-375	CVCL_0132	A-375	not available	Dulbecco's Modified Eagle Medium	not available	MB38_A375_MAE_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250323_Astral_ES906_DIA_30SPD_MB38_proteomeSPEED_MAE_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-03-23T21:02:44	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB38_A375_MAE
MB38_A375_MAE	Homo sapiens	not applicable	not available	2	amelanotic melanoma	cell line	mild acid elution	54Y	female	adult	not applicable	A-375	CVCL_0132	A-375	not available	Dulbecco's Modified Eagle Medium	not available	MB38_A375_MAE_BR2_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250323_Astral_ES906_DIA_30SPD_MB38_proteomeSPEED_MAE_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-03-23T22:05:55	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB38_A375_MAE
MB38_A375_MAE	Homo sapiens	not applicable	not available	3	amelanotic melanoma	cell line	mild acid elution	54Y	female	adult	not applicable	A-375	CVCL_0132	A-375	not available	Dulbecco's Modified Eagle Medium	not available	MB38_A375_MAE_BR3_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250323_Astral_ES906_DIA_30SPD_MB38_proteomeSPEED_MAE_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-03-23T23:05:09	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB38_A375_MAE
MB38_A375_ctrl	Homo sapiens	not applicable	not available	1	amelanotic melanoma	cell line	untreated	54Y	female	adult	not applicable	A-375	CVCL_0132	A-375	not available	Dulbecco's Modified Eagle Medium	not available	MB38_A375_ctrl_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250323_Astral_ES906_DIA_30SPD_MB38_proteomeSPEED_MAE_Ctrl_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-03-24T00:21:47	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB38_A375_ctrl
MB38_A375_ctrl	Homo sapiens	not applicable	not available	2	amelanotic melanoma	cell line	untreated	54Y	female	adult	not applicable	A-375	CVCL_0132	A-375	not available	Dulbecco's Modified Eagle Medium	not available	MB38_A375_ctrl_BR2_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250323_Astral_ES906_DIA_30SPD_MB38_proteomeSPEED_MAE_Ctrl_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-03-24T01:24:16	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB38_A375_ctrl
MB38_A375_ctrl	Homo sapiens	not applicable	not available	3	amelanotic melanoma	cell line	untreated	54Y	female	adult	not applicable	A-375	CVCL_0132	A-375	not available	Dulbecco's Modified Eagle Medium	not available	MB38_A375_ctrl_BR3_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250323_Astral_ES906_DIA_30SPD_MB38_proteomeSPEED_MAE_Ctrl_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-03-24T02:22:59	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB38_A375_ctrl
MB39_A375_TGFb	Homo sapiens	not applicable	not available	1	amelanotic melanoma	cell line	Transforming Growth Factor Beta-1	54Y	female	adult	not applicable	A-375	CVCL_0132	A-375	not available	Dulbecco's Modified Eagle Medium	not available	MB39_A375_TGFb_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250323_Astral_ES906_DIA_30SPD_MB39_proteomeSPEED_TGFb_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-03-24T03:35:21	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB39_A375_TGFb
MB39_A375_TGFb	Homo sapiens	not applicable	not available	2	amelanotic melanoma	cell line	Transforming Growth Factor Beta-1	54Y	female	adult	not applicable	A-375	CVCL_0132	A-375	not available	Dulbecco's Modified Eagle Medium	not available	MB39_A375_TGFb_BR2_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250323_Astral_ES906_DIA_30SPD_MB39_proteomeSPEED_TGFb_02rerun.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-03-24T12:30:30	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB39_A375_TGFb
MB39_A375_TGFb	Homo sapiens	not applicable	not available	3	amelanotic melanoma	cell line	Transforming Growth Factor Beta-1	54Y	female	adult	not applicable	A-375	CVCL_0132	A-375	not available	Dulbecco's Modified Eagle Medium	not available	MB39_A375_TGFb_BR3_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250323_Astral_ES906_DIA_30SPD_MB39_proteomeSPEED_TGFb_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-03-24T05:37:32	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB39_A375_TGFb
MB39_A375_ctrl	Homo sapiens	not applicable	not available	1	amelanotic melanoma	cell line	untreated	54Y	female	adult	not applicable	A-375	CVCL_0132	A-375	not available	Dulbecco's Modified Eagle Medium	not available	MB39_A375_ctrl_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250323_Astral_ES906_DIA_30SPD_MB39_proteomeSPEED_TGFb_Ctrl_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-03-24T06:49:57	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB39_A375_ctrl
