source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[strain or breed]	characteristics[phenotype]	characteristics[growth condition]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[phenotype]
Lmono_EGDe_ancestral_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	ancestral	BHI broth, 30 degree Celsius, 18 hour	not pooled	1	TA25_AN1min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	1	1	TA25_AN1min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ancestral
Lmono_EGDe_ancestral_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	ancestral	BHI broth, 30 degree Celsius, 18 hour	not pooled	2	TA26_AN2min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	1	1	TA26_AN2min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ancestral
Lmono_EGDe_ancestral_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	ancestral	BHI broth, 30 degree Celsius, 18 hour	not pooled	3	TA27_AN3min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	1	1	TA27_AN3min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ancestral
Lmono_EGDe_evolved_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	evolved strong biofilm producer	BHI broth, 30 degree Celsius, 18 hour	not pooled	1	TA28_EV1plus	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	1	1	TA28_EV1plus.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	evolved strong biofilm producer
Lmono_EGDe_evolved_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	evolved strong biofilm producer	BHI broth, 30 degree Celsius, 18 hour	not pooled	2	TA29_EV2plus	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	1	1	TA29_EV2plus.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	evolved strong biofilm producer
Lmono_EGDe_evolved_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	evolved strong biofilm producer	BHI broth, 30 degree Celsius, 18 hour	not pooled	3	TA30_EV3plus	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	1	1	TA30_EV3plus.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	evolved strong biofilm producer
Lmono_EGDe_ancestral_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	ancestral	BHI broth, 30 degree Celsius, 18 hour	not pooled	1	TA72_AN1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	1	1	TA72_AN1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ancestral
Lmono_EGDe_ancestral_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	ancestral	BHI broth, 30 degree Celsius, 18 hour	not pooled	2	TA73_AN2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	1	1	TA73_AN2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ancestral
Lmono_EGDe_ancestral_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	ancestral	BHI broth, 30 degree Celsius, 18 hour	not pooled	3	TA74_AN3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	1	1	TA74_AN3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ancestral
Lmono_EGDe_evolved_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	evolved strong biofilm producer	BHI broth, 30 degree Celsius, 18 hour	not pooled	1	TA75_EV1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	1	1	TA75_EV1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	evolved strong biofilm producer
