source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[bait]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[collision energy]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[bait]	factor value[organism]
JB51-01	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	Vector	cell	1	ex016409	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016409.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Vector	Homo sapiens
JB51-02	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	Vector	cell	2	ex016410	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016410.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Vector	Homo sapiens
JB51-03	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	Vector	cell	3	ex016411	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016411.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Vector	Homo sapiens
JB51-04	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	Vector	cell	4	ex016412	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016412.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Vector	Homo sapiens
JB51-05	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	SARS-CoV-2 Orf9b WT	cell	1	ex016414	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016414.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SARS-CoV-2 Orf9b WT	Homo sapiens
JB51-06	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	SARS-CoV-2 Orf9b WT	cell	2	ex016415	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016415.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SARS-CoV-2 Orf9b WT	Homo sapiens
JB51-07	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	SARS-CoV-2 Orf9b WT	cell	3	ex016416	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016416.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SARS-CoV-2 Orf9b WT	Homo sapiens
JB51-08	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	SARS-CoV-2 Orf9b WT	cell	4	ex016417	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016417.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SARS-CoV-2 Orf9b WT	Homo sapiens
JB51-09	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	not available	cell	1	ex016419	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016419.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	not available	Homo sapiens
JB51-10	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	not available	cell	1	ex016420	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016420.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	not available	Homo sapiens
JB51-11	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	not available	cell	1	ex016421	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016421.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	not available	Homo sapiens
JB51-12	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	not available	cell	1	ex016422	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016422.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	not available	Homo sapiens
JB51-13	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	RaTG13 Orf9b WT	cell	1	ex016424	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016424.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13 Orf9b WT	Homo sapiens
JB51-14	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	RaTG13 Orf9b WT	cell	2	ex016425	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016425.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13 Orf9b WT	Homo sapiens
JB51-15	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	RaTG13 Orf9b WT	cell	3	ex016426	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016426.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13 Orf9b WT	Homo sapiens
JB51-16	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	RaTG13 Orf9b WT	cell	4	ex016427	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016427.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13 Orf9b WT	Homo sapiens
JB51-17	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	not available	cell	1	ex016429	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016429.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	not available	Homo sapiens
JB51-18	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	not available	cell	1	ex016430	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016430.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	not available	Homo sapiens
JB51-19	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	not available	cell	1	ex016431	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016431.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	not available	Homo sapiens
JB51-20	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	not available	cell	1	ex016432	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016432.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	not available	Homo sapiens
JB51-21	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	GFP	cell	1	ex016434	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016434.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	GFP	Homo sapiens
JB51-22	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	GFP	cell	2	ex016435	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016435.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	GFP	Homo sapiens
JB51-23	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	GFP	cell	3	ex016436	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016436.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	GFP	Homo sapiens
JB51-24	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	GFP	cell	4	ex016437	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016437.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	GFP	Homo sapiens
JB51-25	Homo sapiens	kidney	not available	HEK293T	normal	not available	not available	not available	not available	cell	1	ex016439	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	30 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	ex016439.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	not available	Homo sapiens
