source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[ms min im]	comment[ms max im]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[developmental stage]	factor value[organism]
Em_1	Sus scrofa	pancreatic duct	normal	pancreatic ductal cell	cell	embryo stage	not available	not available	1	KAK386X002_CK1_2_1_1099	proteomic profiling by mass spectrometry	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	300	1250	28	0.65	1.35	1	1	KAK386X002_CK1_2_1_1099.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	embryo stage	Sus scrofa
Em_1	Sus scrofa	pancreatic duct	normal	pancreatic ductal cell	cell	embryo stage	not available	not available	1	KAK386X002_2_CK1_3_1_1100	proteomic profiling by mass spectrometry	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	300	1250	28	0.65	1.35	1	2	KAK386X002_2_CK1_3_1_1100.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	embryo stage	Sus scrofa
Em_2	Sus scrofa	pancreatic duct	normal	pancreatic ductal cell	cell	embryo stage	not available	not available	1	KAK386X003_CK2_4_1_1101	proteomic profiling by mass spectrometry	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	300	1250	28	0.65	1.35	1	1	KAK386X003_CK2_4_1_1101.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	embryo stage	Sus scrofa
EPN_ePS1	Sus scrofa	pancreatic duct	normal	pancreatic ductal cell	cell	postnatal	6D	not available	1	KAK386X005_CK3_6_1_1103	proteomic profiling by mass spectrometry	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	300	1250	28	0.65	1.35	1	1	KAK386X005_CK3_6_1_1103.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	postnatal	Sus scrofa
EPN_ePS2	Sus scrofa	pancreatic duct	normal	pancreatic ductal cell	cell	postnatal	19D	not available	1	KAK386X006_CK4_7_1_1104	proteomic profiling by mass spectrometry	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	300	1250	28	0.65	1.35	1	1	KAK386X006_CK4_7_1_1104.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	postnatal	Sus scrofa
EPN_ePS3	Sus scrofa	pancreatic duct	normal	pancreatic ductal cell	cell	postnatal	50D	not available	1	KAK386X007_CK5_8_1_1105	proteomic profiling by mass spectrometry	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	300	1250	28	0.65	1.35	1	1	KAK386X007_CK5_8_1_1105.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	postnatal	Sus scrofa
EPN_laPS1	Sus scrofa	pancreatic duct	normal	pancreatic ductal cell	cell	postnatal	6D	not available	1	KAK386X009_CK6_10_1_1107	proteomic profiling by mass spectrometry	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	300	1250	28	0.65	1.35	1	1	KAK386X009_CK6_10_1_1107.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	postnatal	Sus scrofa
EPN_laPS3	Sus scrofa	pancreatic duct	normal	pancreatic ductal cell	cell	postnatal	50D	not available	1	KAK386X011_CK8_12_1_1109	proteomic profiling by mass spectrometry	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	300	1250	28	0.65	1.35	1	1	KAK386X011_CK8_12_1_1109.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	postnatal	Sus scrofa
Ad_1	Sus scrofa	pancreatic duct	normal	pancreatic ductal cell	cell	adult	1Y2M	not available	1	KAK386X013_CK9_14_1_1111	proteomic profiling by mass spectrometry	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	300	1250	28	0.65	1.35	1	1	KAK386X013_CK9_14_1_1111.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	adult	Sus scrofa
Ad_2	Sus scrofa	pancreatic duct	normal	pancreatic ductal cell	cell	adult	3Y6M	not available	1	KAK386X014_CK10_15_1_1112	proteomic profiling by mass spectrometry	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	300	1250	28	0.65	1.35	1	1	KAK386X014_CK10_15_1_1112.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	adult	Sus scrofa
