source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[file uri]	comment[instrument serial number]	comment[operator]	comment[run start time]	factor value[organism part]
sample_Brain_1	Rhyparobia maderae	brain	not applicable	not applicable	1	Q2_ColID_286_2707_01	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	no cleavage	1	1	Q2_ColID_286_2707_01.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	file:///E:/proteomics/my_raws/Q2_ColID_286_2707_01.raw	Exactive Series slot #1	Susanne Neupert	2021-08-24T19:52:51	brain
sample_Brain_2	Rhyparobia maderae	brain	not applicable	not applicable	2	Q2_ColID_286_2707_02_1	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	no cleavage	1	1	Q2_ColID_286_2707_02_1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	file:///E:/proteomics/my_raws/Q2_ColID_286_2707_02_1.raw	Exactive Series slot #1	Susanne Neupert	2021-08-24T22:48:23	brain
sample_Brain_3	Rhyparobia maderae	brain	not applicable	not applicable	3	Q2_ColID_286_2707_01	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	no cleavage	1	2	Q2_ColID_286_2707_01.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	file:///E:/proteomics/my_raws/Q2_ColID_286_2707_01.raw	Exactive Series slot #1	Susanne Neupert	2021-08-24T19:52:51	brain
sample_Brain_4	Rhyparobia maderae	brain	not applicable	not applicable	4	Q2_ColID_286_2707_02_1	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	no cleavage	1	1	Q2_ColID_286_2707_02_1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	file:///E:/proteomics/my_raws/Q2_ColID_286_2707_02_1.raw	Exactive Series slot #1	Susanne Neupert	2021-08-24T22:48:23	brain
sample_Brain_5	Rhyparobia maderae	brain	not applicable	not applicable	5	Q2_ColID_286_2707_01	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	no cleavage	1	2	Q2_ColID_286_2707_01.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	file:///E:/proteomics/my_raws/Q2_ColID_286_2707_01.raw	Exactive Series slot #1	Susanne Neupert	2021-08-24T19:52:51	brain
sample_RCC_1	Rhyparobia maderae	retrocerebral complex	not applicable	not applicable	1	Q2_ColID_286_2707_03_1	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	no cleavage	1	3	Q2_ColID_286_2707_03_1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	file:///E:/proteomics/my_raws/Q2_ColID_286_2707_03_1.raw	Exactive Series slot #1	Susanne Neupert	2021-08-25T01:43:51	retrocerebral complex
sample_RCC_2	Rhyparobia maderae	retrocerebral complex	not applicable	not applicable	2	Q2_ColID_286_2707_04_1	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	no cleavage	1	1	Q2_ColID_286_2707_04_1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	file:///E:/proteomics/my_raws/Q2_ColID_286_2707_04_1.raw	Exactive Series slot #1	Susanne Neupert	2021-08-25T04:39:09	retrocerebral complex
sample_AME10_1	Rhyparobia maderae	accessory medulla	not applicable	not applicable	1	Q2_ColID_337_projID_2840_01	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	no cleavage	1	1	Q2_ColID_337_projID_2840_01.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	file:///E:/proteomics/my_raws/Q2_ColID_337_projID_2840_01.raw	Exactive Series slot #1	Susanne Neupert	2021-12-17T22:14:26	accessory medulla
sample_AME10_2	Rhyparobia maderae	accessory medulla	not applicable	not applicable	2	Q2_ColID_337_projID_2840_02	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	no cleavage	1	1	Q2_ColID_337_projID_2840_02.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	file:///E:/proteomics/my_raws/Q2_ColID_337_projID_2840_02.raw	Exactive Series slot #1	Susanne Neupert	2021-12-18T01:08:55	accessory medulla
sample_AME10_3	Rhyparobia maderae	accessory medulla	not applicable	not applicable	3	Q2_ColID_337_projID_2840_01	proteomic profiling by mass spectrometry	Data-independent acquisition	Q Exactive Plus	NT=label free sample;AC=MS:1002038	no cleavage	1	2	Q2_ColID_337_projID_2840_01.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	file:///E:/proteomics/my_raws/Q2_ColID_337_projID_2840_01.raw	Exactive Series slot #1	Susanne Neupert	2021-12-17T22:14:26	accessory medulla
