source name	characteristics[organism part]	characteristics[disease]	characteristics[organism]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[data file]	comment[proteomics data acquisition method]	comment[technical replicate]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
B16F10_I_Immunopeptidomics_cells 1 MHC-I	skin	melanoma	Homo sapiens	not available	not available	not available	not available	B16F10	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	not applicable	976	QEP2_CLE_13602_976_310321.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
B16F10_I_Immunopeptidomics_cells 2 MHC-I	skin	melanoma	Homo sapiens	not available	not available	not available	not available	B16F10	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	not applicable	977	QEP2_CLE_13602_977_310321.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
B16F10_I_Immunopeptidomics_cells 3 MHC-I	skin	melanoma	Homo sapiens	not available	not available	not available	not available	B16F10	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	not applicable	1067	QEP2_YS_14601_1067_01092021.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
B16F10_I_Immunopeptidomics_cellsIFNg 1 MHC-I	skin	melanoma	Homo sapiens	not available	not available	not available	not available	B16F10	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	not applicable	978	QEP2_CLE_13602_978_310321.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
B16F10_I_Immunopeptidomics_cellsIFNg 2 MHC-I	skin	melanoma	Homo sapiens	not available	not available	not available	not available	B16F10	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	not applicable	979	QEP2_CLE_13602_979_310321.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
B16F10_I_Immunopeptidomics_cellsIFNg 3 MHC-I	skin	melanoma	Homo sapiens	not available	not available	not available	not available	B16F10	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	not applicable	1068	QEP2_YS_14601_1068_01092021.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
B16F10_I_Immunopeptidomics_melanosomes 1 MHC-I	skin	melanoma	Homo sapiens	not available	not available	not available	not available	B16F10	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	not applicable	980	QEP2_CLE_13602_980_310321.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
B16F10_I_Immunopeptidomics_melanosomes 2 MHC-I	skin	melanoma	Homo sapiens	not available	not available	not available	not available	B16F10	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	not applicable	994	QEP2_CLE_13602_994_310321.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
B16F10_I_Immunopeptidomics_melanosomes 3 MHC-I	skin	melanoma	Homo sapiens	not available	not available	not available	not available	B16F10	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	not applicable	1071	QEP2_YS_14601_1071_01092021.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
B16F10_I_Immunopeptidomics_melanosomes 4 MHC-I	skin	melanoma	Homo sapiens	not available	not available	not available	not available	B16F10	1	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	not applicable	1072	QEP2_YS_14601_1072_01092021.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation
