source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[timepoint]	characteristics[passage number]	characteristics[ancestry category]	characteristics[tissue type]	characteristics[experiment_or_group_id]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[organism]	factor value[organism part]	factor value[cell type]	factor value[disease]	factor value[developmental stage]	factor value[cell line]
G6R1_proteomics_F1_R1_T1_DIA001-EvoSepWZ40SPD_000971_WEWA001_timsTOFultra_S2-H2_1_2780.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	NCI-H441 cell	not available	not available	not available	1	1	1		cell line	H441-HPLM	G6R1_proteomics_F1_R1_T1_DIA001-EvoSepWZ40SPD_000971_WEWA001_timsTOFultra_S2-H2_1_2780.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	1	G6R1_proteomics_F1_R1_T1_DIA001-EvoSepWZ40SPD_000971_WEWA001_timsTOFultra_S2-H2_1_2780.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not applicable	not applicable	not applicable	not applicable	CLO:0008087
G6R1_proteomics_F1_R2_T1_DIA001-EvoSepWZ40SPD_001009_WEWA001_timsTOFultra_S2-A3_1_2818.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	NCI-H441 cell	not available	not available	not available	1	1	1		cell line	H441-HPLM	G6R1_proteomics_F1_R2_T1_DIA001-EvoSepWZ40SPD_001009_WEWA001_timsTOFultra_S2-A3_1_2818.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	2	G6R1_proteomics_F1_R2_T1_DIA001-EvoSepWZ40SPD_001009_WEWA001_timsTOFultra_S2-A3_1_2818.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not applicable	not applicable	not applicable	not applicable	CLO:0008087
G6R1_proteomics_F1_R3_T1_DIA001-EvoSepWZ40SPD_001021_WEWA001_timsTOFultra_S2-B3_1_2830.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	NCI-H441 cell	not available	not available	not available	1	1	1		cell line	H441-HPLM	G6R1_proteomics_F1_R3_T1_DIA001-EvoSepWZ40SPD_001021_WEWA001_timsTOFultra_S2-B3_1_2830.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	3	G6R1_proteomics_F1_R3_T1_DIA001-EvoSepWZ40SPD_001021_WEWA001_timsTOFultra_S2-B3_1_2830.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not applicable	not applicable	not applicable	not applicable	CLO:0008087
G6R2_proteomics_F1_R1_T1_DIA001-EvoSepWZ40SPD_001015_WEWA001_timsTOFultra_S2-H6_1_2824.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	NCI-H441 cell	not available	not available	not available	2	1	1		cell line	H441-HPLM	G6R2_proteomics_F1_R1_T1_DIA001-EvoSepWZ40SPD_001015_WEWA001_timsTOFultra_S2-H6_1_2824.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	1	G6R2_proteomics_F1_R1_T1_DIA001-EvoSepWZ40SPD_001015_WEWA001_timsTOFultra_S2-H6_1_2824.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not applicable	not applicable	not applicable	not applicable	CLO:0008087
G6R2_proteomics_F1_R2_T1_DIA001-EvoSepWZ40SPD_000991_WEWA001_timsTOFultra_S2-A7_1_2800.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	NCI-H441 cell	not available	not available	not available	2	1	1		cell line	H441-HPLM	G6R2_proteomics_F1_R2_T1_DIA001-EvoSepWZ40SPD_000991_WEWA001_timsTOFultra_S2-A7_1_2800.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	2	G6R2_proteomics_F1_R2_T1_DIA001-EvoSepWZ40SPD_000991_WEWA001_timsTOFultra_S2-A7_1_2800.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not applicable	not applicable	not applicable	not applicable	CLO:0008087
G6R2_proteomics_F1_R3_T1_DIA001-EvoSepWZ40SPD_001027_WEWA001_timsTOFultra_S2-B7_1_2836.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	NCI-H441 cell	not available	not available	not available	2	1	1		cell line	H441-HPLM	G6R2_proteomics_F1_R3_T1_DIA001-EvoSepWZ40SPD_001027_WEWA001_timsTOFultra_S2-B7_1_2836.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	3	G6R2_proteomics_F1_R3_T1_DIA001-EvoSepWZ40SPD_001027_WEWA001_timsTOFultra_S2-B7_1_2836.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not applicable	not applicable	not applicable	not applicable	CLO:0008087
G6R3_proteomics_F1_R1_T1_DIA001-EvoSepWZ40SPD_001006_WEWA001_timsTOFultra_S2-H10_1_2815.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	NCI-H441 cell	not available	not available	not available	3	1	1		cell line	H441-HPLM	G6R3_proteomics_F1_R1_T1_DIA001-EvoSepWZ40SPD_001006_WEWA001_timsTOFultra_S2-H10_1_2815.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	1	G6R3_proteomics_F1_R1_T1_DIA001-EvoSepWZ40SPD_001006_WEWA001_timsTOFultra_S2-H10_1_2815.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not applicable	not applicable	not applicable	not applicable	CLO:0008087
G6R3_proteomics_F1_R2_T1_DIA001-EvoSepWZ40SPD_000973_WEWA001_timsTOFultra_S2-A11_1_2782.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	NCI-H441 cell	not available	not available	not available	3	1	1		cell line	H441-HPLM	G6R3_proteomics_F1_R2_T1_DIA001-EvoSepWZ40SPD_000973_WEWA001_timsTOFultra_S2-A11_1_2782.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	2	G6R3_proteomics_F1_R2_T1_DIA001-EvoSepWZ40SPD_000973_WEWA001_timsTOFultra_S2-A11_1_2782.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not applicable	not applicable	not applicable	not applicable	CLO:0008087
G6R3_proteomics_F1_R3_T1_DIA001-EvoSepWZ40SPD_001022_WEWA001_timsTOFultra_S2-B11_1_2831.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	NCI-H441 cell	not available	not available	not available	3	1	1		cell line	H441-HPLM	G6R3_proteomics_F1_R3_T1_DIA001-EvoSepWZ40SPD_001022_WEWA001_timsTOFultra_S2-B11_1_2831.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	3	G6R3_proteomics_F1_R3_T1_DIA001-EvoSepWZ40SPD_001022_WEWA001_timsTOFultra_S2-B11_1_2831.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not applicable	not applicable	not applicable	not applicable	CLO:0008087
G5R1_proteomics_F1_R1_T1_DIA001-EvoSepWZ40SPD_000996_WEWA001_timsTOFultra_S2-E2_1_2805.d	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	not applicable	NCI-H441 cell	not available	not available	not available	1	1	1		cell line	H441-AAS	G5R1_proteomics_F1_R1_T1_DIA001-EvoSepWZ40SPD_000996_WEWA001_timsTOFultra_S2-E2_1_2805.d	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra 2	AC=MS:1002038;NT=label free sample	Trypsin/P	NT=Iodoacetamide derivative; TA=C	NT=Acetylation; TA=N-term	NT=Oxidation; TA=M	NT=Deamidation; TA=N,Q	1	1	G5R1_proteomics_F1_R1_T1_DIA001-EvoSepWZ40SPD_000996_WEWA001_timsTOFultra_S2-E2_1_2805.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCBITaxon:9606	not applicable	not applicable	not applicable	not applicable	CLO:0008087
