source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[source project]
007_Y-DDA_D20	Saccharomyces cerevisiae	not available	1	007_Y-DDA_D20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	1	1	007_Y-DDA_D20	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PXD029959
025_Y-DDA_D20	Saccharomyces cerevisiae	not available	1	025_Y-DDA_D20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	1	1	025_Y-DDA_D20	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PXD029959
037_Y-DDA_D20	Saccharomyces cerevisiae	not available	1	037_Y-DDA_D20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	1	1	037_Y-DDA_D20	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PXD029959
200618_QE1_mliliana_LM3388	Saccharomyces cerevisiae	not available	1	200618_QE1_mliliana_LM3388	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	1	1	200618_QE1_mliliana_LM3388	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PXD031627
200618_QE1_mliliana_LM3402	Saccharomyces cerevisiae	not available	1	200618_QE1_mliliana_LM3402	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	1	1	200618_QE1_mliliana_LM3402	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PXD031627
200618_QE1_mliliana_LM3405	Saccharomyces cerevisiae	not available	1	200618_QE1_mliliana_LM3405	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	1	1	200618_QE1_mliliana_LM3405	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PXD031627
200618_QE1_mliliana_LM3406	Saccharomyces cerevisiae	not available	1	200618_QE1_mliliana_LM3406	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	1	1	200618_QE1_mliliana_LM3406	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PXD031627
200618_QE1_mliliana_LM3407	Saccharomyces cerevisiae	not available	1	200618_QE1_mliliana_LM3407	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	1	1	200618_QE1_mliliana_LM3407	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PXD031627
200618_QE1_mliliana_LM3408	Saccharomyces cerevisiae	not available	1	200618_QE1_mliliana_LM3408	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	1	1	200618_QE1_mliliana_LM3408	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PXD031627
200618_QE1_mliliana_LM3409	Saccharomyces cerevisiae	not available	1	200618_QE1_mliliana_LM3409	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	1	1	200618_QE1_mliliana_LM3409	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PXD031627
200618_QE1_mliliana_LM3410	Saccharomyces cerevisiae	not available	1	200618_QE1_mliliana_LM3410	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	1	1	200618_QE1_mliliana_LM3410	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PXD031627
200618_QE1_mliliana_LM3411	Saccharomyces cerevisiae	not available	1	200618_QE1_mliliana_LM3411	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	1	1	200618_QE1_mliliana_LM3411	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	PXD031627
