source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[material type]	characteristics[disease]	characteristics[treatment]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[immunopeptidome enrichment method]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[antibody enrichment]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms min im]	comment[ms max im]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
A375_dmso_rep1	Homo sapiens	skin	not applicable	A375	CVCL_0132	cell	melanoma	DMSO	not available	female	not applicable	adult	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_ClassI_dmso_Rep-1	proteomic profiling by mass spectrometry	TTP_YS_18257_1519_13042023_15-Apr-23_17-00-45_2976.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	0.6	1.57	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	DMSO
A375_1925_rep1	Homo sapiens	skin	not applicable	A375	CVCL_0132	cell	melanoma	compound 1925	not available	female	not applicable	adult	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_ClassI_1925_Rep-1	proteomic profiling by mass spectrometry	TTP_YS_18257_1520_13042023_15-Apr-23_07-08-00_2971.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	0.6	1.57	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	compound 1925
A375_2678_rep1	Homo sapiens	skin	not applicable	A375	CVCL_0132	cell	melanoma	compound 2678	not available	female	not applicable	adult	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_ClassI_2678_Rep-1	proteomic profiling by mass spectrometry	TTP_YS_18257_1521_13042023_14-Apr-23_15-35-21_2963.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	0.6	1.57	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	compound 2678
A375_dmso_rep2	Homo sapiens	skin	not applicable	A375	CVCL_0132	cell	melanoma	DMSO	not available	female	not applicable	adult	2	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_ClassI_dmso_Rep-2	proteomic profiling by mass spectrometry	TTP_YS_18257_1522_13042023_14-Apr-23_19-32-03_2965.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	0.6	1.57	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	DMSO
A375_1925_rep2	Homo sapiens	skin	not applicable	A375	CVCL_0132	cell	melanoma	compound 1925	not available	female	not applicable	adult	2	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_ClassI_1925_Rep-2	proteomic profiling by mass spectrometry	TTP_YS_18257_1523_13042023_14-Apr-23_07-41-16_2959.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	0.6	1.57	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	compound 1925
A375_2678_rep2	Homo sapiens	skin	not applicable	A375	CVCL_0132	cell	melanoma	compound 2678	not available	female	not applicable	adult	2	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_ClassI_2678_Rep-2	proteomic profiling by mass spectrometry	TTP_YS_18257_1524_13042023_15-Apr-23_03-07-48_2969.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	0.6	1.57	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	compound 2678
A375_dmso_rep3	Homo sapiens	skin	not applicable	A375	CVCL_0132	cell	melanoma	DMSO	not available	female	not applicable	adult	3	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_ClassI_dmso_Rep-3	proteomic profiling by mass spectrometry	TTP_YS_18257_1525_13042023_14-Apr-23_09-39-38_2960.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	0.6	1.57	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	DMSO
A375_1925_rep3	Homo sapiens	skin	not applicable	A375	CVCL_0132	cell	melanoma	compound 1925	not available	female	not applicable	adult	3	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_ClassI_1925_Rep-3	proteomic profiling by mass spectrometry	TTP_YS_18257_1526_13042023_15-Apr-23_01-09-32_2968.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	0.6	1.57	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	compound 1925
A375_2678_rep3	Homo sapiens	skin	not applicable	A375	CVCL_0132	cell	melanoma	compound 2678	not available	female	not applicable	adult	3	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_ClassI_2678_Rep-3	proteomic profiling by mass spectrometry	TTP_YS_18257_1527_13042023_15-Apr-23_13-03-40_2974.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	0.6	1.57	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	compound 2678
PC9_dmso_rep1	Homo sapiens	lymph node	not applicable	PC9	CVCL_B260	cell	lung adenocarcinoma	DMSO	not available	male	not applicable	adult	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	PC9_ClassI_dmso_Rep-1	proteomic profiling by mass spectrometry	TTP_YS_18257_1528_13042023_14-Apr-23_05-42-52_2958.d.zip	1	NT=timsTOF Pro;AC=MS:1003005	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	20 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	0.6	1.57	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	DMSO
