source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
HM-2-Astral-2_24_FPEP240161143-1A	HM-2-Astral-2_24_FPEP240161143-1A	Archivesica marissinica	Gill	not applicable	not available	In_situ_evidence_of_tiered_adaptations_buffering_a_chemosynthetic_clam_holobiont_against_environmental_sulfide_fluctuations	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HM-2-Astral-2_24_FPEP240161143-1A	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=orbitrap astral;AC=ms:1003378	not applicable	not available	1	1	HM-2-Astral-2_24_FPEP240161143-1A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Gill
HM-2-Astral-2_24_FPEP240161144-1A	HM-2-Astral-2_24_FPEP240161144-1A	Archivesica marissinica	Gill	not applicable	not available	In_situ_evidence_of_tiered_adaptations_buffering_a_chemosynthetic_clam_holobiont_against_environmental_sulfide_fluctuations	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HM-2-Astral-2_24_FPEP240161144-1A	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=orbitrap astral;AC=ms:1003378	not applicable	not available	1	1	HM-2-Astral-2_24_FPEP240161144-1A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Gill
HM-2-Astral-2_24_FPEP240161145-1A	HM-2-Astral-2_24_FPEP240161145-1A	Archivesica marissinica	Gill	not applicable	not available	In_situ_evidence_of_tiered_adaptations_buffering_a_chemosynthetic_clam_holobiont_against_environmental_sulfide_fluctuations	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HM-2-Astral-2_24_FPEP240161145-1A	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=orbitrap astral;AC=ms:1003378	not applicable	not available	1	1	HM-2-Astral-2_24_FPEP240161145-1A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Gill
HM-2-Astral-2_24_FPEP240161146-1A	HM-2-Astral-2_24_FPEP240161146-1A	Archivesica marissinica	Gill	not applicable	not available	In_situ_evidence_of_tiered_adaptations_buffering_a_chemosynthetic_clam_holobiont_against_environmental_sulfide_fluctuations	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HM-2-Astral-2_24_FPEP240161146-1A	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=orbitrap astral;AC=ms:1003378	not applicable	not available	1	1	HM-2-Astral-2_24_FPEP240161146-1A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Gill
HM-2-Astral-2_24_FPEP240161147-1A	HM-2-Astral-2_24_FPEP240161147-1A	Archivesica marissinica	Gill	not applicable	not available	In_situ_evidence_of_tiered_adaptations_buffering_a_chemosynthetic_clam_holobiont_against_environmental_sulfide_fluctuations	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HM-2-Astral-2_24_FPEP240161147-1A	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=orbitrap astral;AC=ms:1003378	not applicable	not available	1	1	HM-2-Astral-2_24_FPEP240161147-1A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Gill
HM-2-Astral-2_24_FPEP240161148-1A	HM-2-Astral-2_24_FPEP240161148-1A	Archivesica marissinica	Gill	not applicable	not available	In_situ_evidence_of_tiered_adaptations_buffering_a_chemosynthetic_clam_holobiont_against_environmental_sulfide_fluctuations	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HM-2-Astral-2_24_FPEP240161148-1A	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=orbitrap astral;AC=ms:1003378	not applicable	not available	1	1	HM-2-Astral-2_24_FPEP240161148-1A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Gill
HM-2-Astral-2_24_FPEP240161149-1A	HM-2-Astral-2_24_FPEP240161149-1A	Archivesica marissinica	Gill	not applicable	not available	In_situ_evidence_of_tiered_adaptations_buffering_a_chemosynthetic_clam_holobiont_against_environmental_sulfide_fluctuations	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HM-2-Astral-2_24_FPEP240161149-1A	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=orbitrap astral;AC=ms:1003378	not applicable	not available	1	1	HM-2-Astral-2_24_FPEP240161149-1A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Gill
HM-2-Astral-2_24_FPEP240161150-1A	HM-2-Astral-2_24_FPEP240161150-1A	Archivesica marissinica	Gill	not applicable	not available	In_situ_evidence_of_tiered_adaptations_buffering_a_chemosynthetic_clam_holobiont_against_environmental_sulfide_fluctuations	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HM-2-Astral-2_24_FPEP240161150-1A	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=orbitrap astral;AC=ms:1003378	not applicable	not available	1	1	HM-2-Astral-2_24_FPEP240161150-1A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Gill
HM-2-Astral-2_24_FPEP240161151-1A	HM-2-Astral-2_24_FPEP240161151-1A	Archivesica marissinica	Gill	not applicable	not available	In_situ_evidence_of_tiered_adaptations_buffering_a_chemosynthetic_clam_holobiont_against_environmental_sulfide_fluctuations	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HM-2-Astral-2_24_FPEP240161151-1A	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=orbitrap astral;AC=ms:1003378	not applicable	not available	1	1	HM-2-Astral-2_24_FPEP240161151-1A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Gill
HM-2-Astral-2_24_FPEP240161152-1A	HM-2-Astral-2_24_FPEP240161152-1A	Archivesica marissinica	Gill	not applicable	not available	In_situ_evidence_of_tiered_adaptations_buffering_a_chemosynthetic_clam_holobiont_against_environmental_sulfide_fluctuations	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HM-2-Astral-2_24_FPEP240161152-1A	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=orbitrap astral;AC=ms:1003378	not applicable	not available	1	1	HM-2-Astral-2_24_FPEP240161152-1A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Gill
