source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[data file]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	Condition	BioReplicate	factor value[organism part]
250508_D9_142_DP_G1_120min_Exploris_FAIMS_DIA_CV-45-60	Homo sapiens	Dendritic cell	1	not available	not available	not available	250508_D9_142_DP_G1_120min_Exploris_FAIMS_DIA_CV-45-60	proteomic profiling by mass spectrometry	250508_D9_142_DP_G1_120min_Exploris_FAIMS_DIA_CV-45-60.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d9_142	d9_142-1	Dendritic cell
250508_D9_142_DP_G2_120min_Exploris_FAIMS_DIA_CV-45-60	Homo sapiens	Dendritic cell	1	not available	not available	not available	250508_D9_142_DP_G2_120min_Exploris_FAIMS_DIA_CV-45-60	proteomic profiling by mass spectrometry	250508_D9_142_DP_G2_120min_Exploris_FAIMS_DIA_CV-45-60.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d9_142	d9_142-2	Dendritic cell
250508_D9_142_DP_L1_120min_Exploris_FAIMS_DIA_CV-45-60	Homo sapiens	Dendritic cell	1	not available	not available	not available	250508_D9_142_DP_L1_120min_Exploris_FAIMS_DIA_CV-45-60	proteomic profiling by mass spectrometry	250508_D9_142_DP_L1_120min_Exploris_FAIMS_DIA_CV-45-60.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d9_142	d9_142-3	Dendritic cell
250508_D9_142_DP_L2_120min_Exploris_FAIMS_DIA_CV-45-60	Homo sapiens	Dendritic cell	1	not available	not available	not available	250508_D9_142_DP_L2_120min_Exploris_FAIMS_DIA_CV-45-60	proteomic profiling by mass spectrometry	250508_D9_142_DP_L2_120min_Exploris_FAIMS_DIA_CV-45-60.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d9_142	d9_142-4	Dendritic cell
250508_D9_142_DP_SC1_120min_Exploris_FAIMS_DIA_CV-45-60	Homo sapiens	Dendritic cell	1	not available	not available	not available	250508_D9_142_DP_SC1_120min_Exploris_FAIMS_DIA_CV-45-60	proteomic profiling by mass spectrometry	250508_D9_142_DP_SC1_120min_Exploris_FAIMS_DIA_CV-45-60.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d9_142	d9_142-5	Dendritic cell
250508_D9_142_DP_SC2_120min_Exploris_FAIMS_DIA_CV-45-60	Homo sapiens	Dendritic cell	1	not available	not available	not available	250508_D9_142_DP_SC2_120min_Exploris_FAIMS_DIA_CV-45-60	proteomic profiling by mass spectrometry	250508_D9_142_DP_SC2_120min_Exploris_FAIMS_DIA_CV-45-60.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d9_142	d9_142-6	Dendritic cell
250508_D9_142_DP_XCR1neg_L1_120min_Exploris_FAIMS_DIA_CV-45-60	Homo sapiens	Dendritic cell	1	not available	not available	not available	250508_D9_142_DP_XCR1neg_L1_120min_Exploris_FAIMS_DIA_CV-45-60	proteomic profiling by mass spectrometry	250508_D9_142_DP_XCR1neg_L1_120min_Exploris_FAIMS_DIA_CV-45-60.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d9_142_XCR1neg	d9_142_XCR1neg-1	Dendritic cell
250508_D9_142_DP_XCR1neg_L2_120min_Exploris_FAIMS_DIA_CV-45-60	Homo sapiens	Dendritic cell	1	not available	not available	not available	250508_D9_142_DP_XCR1neg_L2_120min_Exploris_FAIMS_DIA_CV-45-60	proteomic profiling by mass spectrometry	250508_D9_142_DP_XCR1neg_L2_120min_Exploris_FAIMS_DIA_CV-45-60.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d9_142_XCR1neg	d9_142_XCR1neg-2	Dendritic cell
250508_D9_142_DP_XCR1neg_SC1_120min_Exploris_FAIMS_DIA_CV-45-60	Homo sapiens	Dendritic cell	1	not available	not available	not available	250508_D9_142_DP_XCR1neg_SC1_120min_Exploris_FAIMS_DIA_CV-45-60	proteomic profiling by mass spectrometry	250508_D9_142_DP_XCR1neg_SC1_120min_Exploris_FAIMS_DIA_CV-45-60.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d9_142_XCR1neg	d9_142_XCR1neg-3	Dendritic cell
250508_D9_142_DP_XCR1neg_SC2_120min_Exploris_FAIMS_DIA_CV-45-60	Homo sapiens	Dendritic cell	1	not available	not available	not available	250508_D9_142_DP_XCR1neg_SC2_120min_Exploris_FAIMS_DIA_CV-45-60	proteomic profiling by mass spectrometry	250508_D9_142_DP_XCR1neg_SC2_120min_Exploris_FAIMS_DIA_CV-45-60.raw	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	2	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d9_142_XCR1neg	d9_142_XCR1neg-4	Dendritic cell
