source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[strain/genotype]	characteristics[expression construct]	characteristics[time]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]
DM01	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	1	J1074_LD10	non-expression strain	0 min (pre-induction)	9281_MOL0084_S044_DM01_Neg_LD10_preT0_A_1_Slot1-53	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9281_MOL0084_S044_DM01_Neg_LD10_preT0_A_1_Slot1-53.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM02	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	2	J1074_LD10	non-expression strain	0 min (pre-induction)	9275_MOL0084_S038_DM02_Neg_LD10_preT0_B_1_Slot1-47	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9275_MOL0084_S038_DM02_Neg_LD10_preT0_B_1_Slot1-47.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM03	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	3	J1074_LD10	non-expression strain	0 min (pre-induction)	9286_MOL0084_S048_DM03_Neg_LD10_preT0_C_1_Slot2-39	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9286_MOL0084_S048_DM03_Neg_LD10_preT0_C_1_Slot2-39.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM04	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	4	J1074_LD10	non-expression strain	0 min (pre-induction)	9269_MOL0102_S034_DM04_Neg_LD10_preT0_D_1_Slot1-43	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9269_MOL0102_S034_DM04_Neg_LD10_preT0_D_1_Slot1-43.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM05	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	1	J1074_LD10	LP expression strain	0 min (pre-induction)	9242_MOL0083_S010_DM05_LP_LD10_preT0_A_1_Slot1-19	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9242_MOL0083_S010_DM05_LP_LD10_preT0_A_1_Slot1-19.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM06	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	2	J1074_LD10	LP expression strain	0 min (pre-induction)	9246_MOL0083_S014_DM06_LP_LD10_preT0_B_1_Slot1-23	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9246_MOL0083_S014_DM06_LP_LD10_preT0_B_1_Slot1-23.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM07	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	3	J1074_LD10	LP expression strain	0 min (pre-induction)	9280_MOL0084_S043_DM07_LP_LD10_preT0_C_1_Slot1-52	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9280_MOL0084_S043_DM07_LP_LD10_preT0_C_1_Slot1-52.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM08	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	4	J1074_LD10	LP expression strain	0 min (pre-induction)	9238_MOL0097_S007_DM08_LP_LD10_preT0_D_1_Slot1-16	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9238_MOL0097_S007_DM08_LP_LD10_preT0_D_1_Slot1-16.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM09	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	1	J1074_LD10	non-expression strain	0 min	9235_MOL0097_S004_DM09_Neg_LD10_T0_A_1_Slot1-13	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9235_MOL0097_S004_DM09_Neg_LD10_T0_A_1_Slot1-13.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM10	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	2	J1074_LD10	non-expression strain	0 min	9237_MOL0097_S006_DM10_Neg_LD10_T0_B_1_Slot1-15	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9237_MOL0097_S006_DM10_Neg_LD10_T0_B_1_Slot1-15.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
