source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[strain/breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]
T12_MIC_1_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T12_MIC_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T12_MIC_1_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T12_MIC_2_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T12_MIC_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T12_MIC_2_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T12_MIC_3_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T12_MIC_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T12_MIC_3_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T12_SUB_1_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T12_SUB_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T12_SUB_1_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T12_SUB_2_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T12_SUB_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T12_SUB_2_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T12_SUB_3_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T12_SUB_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T12_SUB_3_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T12_WT_1_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T12_WT_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T12_WT_1_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T12_WT_2_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T12_WT_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T12_WT_2_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T12_WT_3_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T12_WT_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T12_WT_3_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T24_SUB_1_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T24_SUB_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T24_SUB_1_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T24_SUB_2_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T24_SUB_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T24_SUB_2_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T24_SUB_3_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T24_SUB_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T24_SUB_3_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T24_WT_1_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T24_WT_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T24_WT_1_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T24_WT_2_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T24_WT_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T24_WT_2_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T24_WT_3_cj	Campylobacter jejuni subsp. jejuni atcc 33560	not applicable	gastroenteritis	1	ATCC33560	T24_WT_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T24_WT_3_cj.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T4_2MIC_1_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T4_2MIC_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T4_2MIC_1_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T4_2MIC_2_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T4_2MIC_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T4_2MIC_2_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T4_2MIC_3_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T4_2MIC_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T4_2MIC_3_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T4_SUB_1_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T4_SUB_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T4_SUB_1_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T4_SUB_2_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T4_SUB_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T4_SUB_2_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T4_SUB_3_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T4_SUB_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T4_SUB_3_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T4_WT_1_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T4_WT_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T4_WT_1_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T4_WT_2_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T4_WT_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T4_WT_2_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T4_WT_3_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T4_WT_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T4_WT_3_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T24_SUB_1_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T24_SUB_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T24_SUB_1_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T24_SUB_2_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T24_SUB_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T24_SUB_2_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T24_SUB_3_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T24_SUB_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T24_SUB_3_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T24_WT_1_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T24_WT_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T24_WT_1_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T24_WT_2_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T24_WT_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T24_WT_2_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T24_WT_3_cc	Campylobacter coli rm2228	not applicable	gastroenteritis	1	RM2228	T24_WT_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	T24_WT_3_cc.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
