accession	action	column	value	note
PMID21183079	TEMPLATE	comment[sdrf template]	vertebrates	
PXD000354	ADDED	characteristics[sex]	female	PRIDE project description
PXD000354	ADDED	characteristics[strain or breed]	Sprague-Dawley	PRIDE project description
PXD000354	ADDED	characteristics[developmental stage]	adult	PRIDE project description
PXD000354	SET	characteristics[disease]	normal	PRIDE project description
PXD000354	TEMPLATE	comment[sdrf template]	vertebrates	
PXD000561	SET	characteristics[disease]	normal	publication PMC4403737
PXD000561	TEMPLATE	comment[sdrf template]	human	
PXD001020	ADDED	characteristics[sex]	male	publication PMC4188985
PXD001020	ADDED	characteristics[strain or breed]	C57BL/6J	publication PMC4188985
PXD001020	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD001020	TEMPLATE	comment[sdrf template]	vertebrates	
PXD001839	SET	characteristics[disease]	normal	PRIDE project description
PXD001839	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD001839	TEMPLATE	comment[sdrf template]	vertebrates	
PXD001842	SET	characteristics[disease]	normal	PRIDE project description
PXD001842	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD001842	TEMPLATE	comment[sdrf template]	vertebrates	
PXD001888	ADDED	characteristics[sex]	female	publication PMC5271313
PXD001888	ADDED	characteristics[strain or breed]	Balb/CJ	publication PMC5271313
PXD001888	ADDED	characteristics[developmental stage]	adult	publication PMC5271313
PXD001888	TEMPLATE	comment[sdrf template]	vertebrates	
PXD002331	ADDED	characteristics[developmental stage]	adult	PRIDE sample processing protocol PXD002331
PXD002331	ADDED	characteristics[age]	10W	PRIDE sample processing protocol PXD002331
PXD002331	ADDED	characteristics[strain or breed]	Wistar	PRIDE sample processing protocol PXD002331
PXD002331	TEMPLATE	comment[sdrf template]	vertebrates	
PXD002403	SET	characteristics[strain or breed]	White Leghorn	PRIDE project description PXD002403
PXD002403	SET	characteristics[age]	18D	PRIDE project description PXD002403
PXD002488	ADDED	characteristics[developmental stage]	adult	PRIDE project description PXD002488
PXD002488	TEMPLATE	comment[sdrf template]	vertebrates	
PXD002870	ADDED	characteristics[sex]	male	PRIDE sample processing protocol PXD002870
PXD002870	ADDED	characteristics[age]	9W-12W	PRIDE sample processing protocol PXD002870
PXD002870	TEMPLATE	comment[sdrf template]	vertebrates	
PXD004465	ADDED-REQUIRED	characteristics[age]	not available	human
PXD004465	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD004465	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD004465	TEMPLATE	comment[sdrf template]	human	
PXD004631	SET	characteristics[disease]	dilated cardiomyopathy	PRIDE project description PXD004631
PXD004631	SET	characteristics[developmental stage]	adult	publication PMC7473864
PXD004916	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD004916	TEMPLATE	comment[sdrf template]	vertebrates	
PXD005300	TEMPLATE	comment[sdrf template]	vertebrates	
PXD005413	ADDED	characteristics[sex]	male	publication PMC5585273
PXD005413	ADDED	characteristics[age]	3M	publication PMC5585273
PXD005413	SET	characteristics[developmental stage]	adult	publication PMC5585273
PXD005413	ADDED	characteristics[strain or breed]	C57BL/6	publication PMC5585273
PXD005413	SET	characteristics[disease]	normal	publication PMC5585273
PXD006120	ADDED	characteristics[developmental stage]	adult	PRIDE sample processing protocol
PXD006120	ADDED	characteristics[age]	1W	PRIDE sample processing protocol
PXD006120	ADDED-REQUIRED	characteristics[strain or breed]	not available	invertebrates
PXD006120	TEMPLATE	comment[sdrf template]	invertebrates	
PXD006646	ADDED	characteristics[sex]	male	PRIDE project description
PXD006646	ADDED	characteristics[strain or breed]	Wistar	PRIDE project description
PXD006646	ADDED	characteristics[developmental stage]	adult	PRIDE project description
PXD006646	SET	characteristics[disease]	normal	PRIDE project description
PXD006646	TEMPLATE	comment[sdrf template]	vertebrates	
PXD006816	ADDED	characteristics[sex]	male	publication PMC5795388
PXD006816	ADDED	characteristics[strain or breed]	C57BL/6N	publication PMC5795388
PXD006816	ADDED	characteristics[age]	7W-9W	publication PMC5795388
PXD006816	SET	characteristics[developmental stage]	adult	publication PMC5795388
PXD006816	SET	characteristics[disease]	normal	publication PMC5795388
PXD006888	ADDED	characteristics[sex]	female	publication PMC5562214
PXD006888	ADDED	characteristics[age]	15W	publication PMC5562214
PXD006888	ADDED	characteristics[developmental stage]	adult	publication PMC5562214
PXD006888	TEMPLATE	comment[sdrf template]	vertebrates	
PXD007171	ADDED	characteristics[sex]	male	publication PMC5626523
PXD007171	ADDED	characteristics[strain or breed]	C57BL/6N	publication PMC5626523
PXD007171	ADDED	characteristics[developmental stage]	adult	publication PMC5626523
PXD007171	TEMPLATE	comment[sdrf template]	vertebrates	
PXD007839	ADDED-REQUIRED	characteristics[age]	not available	human
PXD007839	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD007839	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD007839	TEMPLATE	comment[sdrf template]	human	
PXD008722	ADDED	characteristics[developmental stage]	adult	publication PMC7338087
PXD008722	TEMPLATE	comment[sdrf template]	human	
PXD008736	ADDED	characteristics[sex]	male	publication PMC6599035
PXD008736	ADDED	characteristics[developmental stage]	adult	publication PMC6599035
PXD008736	ADDED	characteristics[strain or breed]	C57BL/6J	publication PMC6599035
PXD008736	ADDED	characteristics[age]	12W-14W	publication PMC6599035
PXD008736	SET	characteristics[disease]	normal	publication PMC6599035
PXD008736	TEMPLATE	comment[sdrf template]	vertebrates	
PXD008934	TEMPLATE	comment[sdrf template]	human	
PXD008998	ADDED	characteristics[strain or breed]	C57BL/6N	publication PMC6061787
PXD008998	ADDED	characteristics[developmental stage]	adult	publication PMC6061787
PXD008998	ADDED	characteristics[age]	8W-10W	publication PMC6061787
PXD008998	TEMPLATE	comment[sdrf template]	vertebrates	
PXD010154	SET	characteristics[disease]	normal	PRIDE project description
PXD010154	TEMPLATE	comment[sdrf template]	human	
PXD011627	SET	characteristics[developmental stage]	adult	publication PMC6731076
PXD011627	ADDED	characteristics[strain or breed]	AB	publication PMC6731076
PXD011778	SET	characteristics[sex]	male	publication PMC6329742
PXD011778	SET	characteristics[developmental stage]	adult	publication PMC6329742
PXD011778	SET	characteristics[strain or breed]	C57BL/6J	publication PMC6329742
PXD011778	SET	characteristics[age]	3M-6M	publication PMC6329742
PXD011778	SET	characteristics[cell type]	fibroblast	PRIDE project description
PXD011780	SET	characteristics[cell type]	macrophage	PRIDE project description
PXD011780	SET	characteristics[strain or breed]	C57BL/6J	publication PMC8963000
PXD011780	SET	characteristics[sex]	male	publication PMC8963000
PXD011780	SET	characteristics[developmental stage]	adult	publication PMC8963000
PXD011780	SET	characteristics[age]	3M-6M	publication PMC8963000
PXD011791	ADDED	characteristics[developmental stage]	adult	publication PMC8704488
PXD011791	TEMPLATE	comment[sdrf template]	vertebrates	
PXD011998	ADDED	characteristics[cell type]	cardiac stem cell	PRIDE project description
PXD011998	ADDED-REQUIRED	characteristics[age]	not available	human
PXD011998	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD011998	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD011998	TEMPLATE	comment[sdrf template]	human	
PXD012467	ADDED-REQUIRED	characteristics[age]	not available	human
PXD012467	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD012467	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD012467	TEMPLATE	comment[sdrf template]	human	
PXD012593	TEMPLATE	comment[sdrf template]	vertebrates	
PXD012593	TEMPLATE	comment[sdrf template]	human	
PXD013375	ADDED	characteristics[developmental stage]	adult	PRIDE sample processing protocol
PXD013375	TEMPLATE	comment[sdrf template]	vertebrates	
PXD013543	ADDED	characteristics[sex]	male	publication PMC6888820
PXD013543	ADDED	characteristics[strain or breed]	Wistar	publication PMC6888820
PXD013543	ADDED	characteristics[developmental stage]	adult	publication PMC6888820
PXD013543	TEMPLATE	comment[sdrf template]	vertebrates	
PXD014016	SET	characteristics[disease]	normal	PRIDE project description
PXD014016	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD014016	TEMPLATE	comment[sdrf template]	vertebrates	
PXD014061	ADDED	characteristics[strain or breed]	C57BL/6J	PRIDE project description
