id	group	label	reason	organism_taxname	pmid	doi	n_raw_files	n_sdrf_rows	instrument	quantification	experiment_types	title
PXD002124	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	26439676	not available	6	6	LTQ Orbitrap Velos	Label free;TIC;Spectrum counting	Shotgun proteomics	Zebrafish Deyolking Survey -  A Survey of the Impact of Deyolking on Biological Processes Covered by Shotgun Proteomic Analyses of Zebrafish Embryos
PXD002455	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	26585961	not available	4	4	Q Exactive	not available	Gel-based experiment	Calsequestrins in skeletal and cardiac muscle from adult Danio rerio.
PXD003455	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	27696471	not available	2	2	Q Exactive	not available	Shotgun proteomics	Zebrafish embryo Kac -  Global proteomic analysis of lysine acetylation in zebrafish (Danio rerio) embryos
PXD004115	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	28210224	not available	22	11	TripleTOF 5600	not available	Gel-based experiment	In-depth proteomic mapping of skin mucus of gilthead sea bream (Sparus aurata). Surrogate markers of chronic stress in fish farming
PXD004116	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	28210224	not available	10	5	TripleTOF 5600	not available	Gel-based experiment	In-depth proteomic mapping of skin mucus of gilthead sea bream (Sparus aurata). Surrogate markers of chronic stress in fish farming
PXD004209	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	27459904	not available	114	114	Q Exactive	not available	Shotgun proteomics	A detailed proteomic analysis of plasma membrane from zebrafish brain
PXD005129	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	29145436	10.6019/PXD005129	16	16	LTQ Orbitrap	not available	Shotgun proteomics	Proteomic portraits of egg quality in zebrafish (Danio rerio)
PXD005137	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	29145436	10.6019/PXD005137	39	39	LTQ Orbitrap	not available	Shotgun proteomics	Proteomic portraits of egg quality in zebrafish (Danio rerio)
PXD005843	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	28300160	10.6019/PXD005843	30	30	Q-Tof Premier	not available	MSE	Zebrafish retinal proteome during experimental degeneration and regeneration
PXD009612	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	34416891	not available	6	6	Q Exactive	Normalized Spectral Abundance Factor - NSAF	Shotgun proteomics	Sodium valproate is protective in a transgenic zebrafish model of Machado Joseph disease
PXD009934	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	37958719	not available	12	12	LTQ Orbitrap Velos	Label free	Shotgun proteomics	Zebrafish embryo T18°C MAX QUANT
PXD010869	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	30747917	not available	36	18	TripleTOF 5600	SWATH MS	SWATH MS	Quantification of brain, muscle, and liver using large SWATH-spectral library
PXD011258	zebrafish	include	annotated in this batch	Danio rerio (zebrafish) (brachydanio rerio)	30745143	not available	7	7	LTQ Orbitrap	not available	Shotgun proteomics	MS on EVs from the YSL of 3dpf zebrafish embryos
