source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[somascan menu]	comment[somascan platform]	comment[dilution]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
PAD000020-A4098221	Homo sapiens	Blood plasma	not available	not available	not available	1	study sample	blood plasma	PAD000020-r00001-A4098221	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000020-0357897691	Homo sapiens	Blood plasma	not available	not available	not available	2	study sample	blood plasma	PAD000020-r00002-0357897691	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000020-A4098253	Homo sapiens	Blood plasma	not available	not available	not available	3	study sample	blood plasma	PAD000020-r00003-A4098253	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000020-A4030388	Homo sapiens	Blood plasma	not available	not available	not available	4	study sample	blood plasma	PAD000020-r00004-A4030388	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000020-A4098164	Homo sapiens	Blood plasma	not available	not available	not available	5	study sample	blood plasma	PAD000020-r00005-A4098164	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000020-SID2	Homo sapiens	Blood plasma	not available	not available	not available	6	study sample	blood plasma	PAD000020-r00006-SID2	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000020-A4098429	Homo sapiens	Blood plasma	not available	not available	not available	7	study sample	blood plasma	PAD000020-r00007-A4098429	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000020-230500	Homo sapiens	Blood plasma	not available	not available	not available	8	study sample	blood plasma	PAD000020-r00008-230500	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000020-A4098452	Homo sapiens	Blood plasma	not available	not available	not available	9	study sample	blood plasma	PAD000020-r00009-A4098452	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
PAD000020-A4033081	Homo sapiens	Blood plasma	not available	not available	not available	10	study sample	blood plasma	PAD000020-r00010-A4033081	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0
