source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[material type]	characteristics[biological replicate]	characteristics[enrichment method]	characteristics[sample amount]	characteristics[treatment]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[enrichment method]	factor value[treatment]	factor value[sample amount]
HeLa sample 1 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	1	Fe(III)-IMAC	200 ug	not applicable	run 1	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20151203_HP_LMR_HeLa_FeIMAC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	200 ug
HeLa sample 2 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	2	Fe(III)-IMAC	200 ug	not applicable	run 2	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20151203_HP_LMR_HeLa_FeIMAC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	200 ug
HeLa sample 3 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	3	Fe(III)-IMAC	200 ug	not applicable	run 3	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20151203_HP_LMR_HeLa_FeIMAC_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	200 ug
HeLa sample 4 Fe(III)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	4	Fe(III)-IMAC	200 ug	not applicable	run 4	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20151203_HP_LMR_HeLa_FeIMAC_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Fe(III)-IMAC	not applicable	200 ug
HeLa sample 1 Ti(IV)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	1	Ti(IV)-IMAC	200 ug	not applicable	run 5	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20151203_HP_LMR_HeLa_TiIMAC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Ti(IV)-IMAC	not applicable	200 ug
HeLa sample 2 Ti(IV)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	2	Ti(IV)-IMAC	200 ug	not applicable	run 6	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20151203_HP_LMR_HeLa_TiIMAC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Ti(IV)-IMAC	not applicable	200 ug
HeLa sample 3 Ti(IV)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	3	Ti(IV)-IMAC	200 ug	not applicable	run 7	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20151203_HP_LMR_HeLa_TiIMAC_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Ti(IV)-IMAC	not applicable	200 ug
HeLa sample 4 Ti(IV)-IMAC	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	4	Ti(IV)-IMAC	200 ug	not applicable	run 8	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20151203_HP_LMR_HeLa_TiIMAC_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Ti(IV)-IMAC	not applicable	200 ug
HeLa sample 1 TiO2	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	1	TiO2	200 ug	not applicable	run 9	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20151203_HP_LMR_HeLa_TiO2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	TiO2	not applicable	200 ug
HeLa sample 2 TiO2	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	adult	cervical adenocarcinoma	Black	female	31Y	cell line	2	TiO2	200 ug	not applicable	run 10	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1000422	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR10_20151203_HP_LMR_HeLa_TiO2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	TiO2	not applicable	200 ug
