source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[FILL]
200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F01	Dendrobium sp. xmw-2002-13	Seed	FILL:disease	FILL:biological replicate	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F02	Dendrobium sp. xmw-2002-13	Seed	FILL:disease	FILL:biological replicate	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F02	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F02.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F03	Dendrobium sp. xmw-2002-13	Seed	FILL:disease	FILL:biological replicate	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F03	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F03.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F04	Dendrobium sp. xmw-2002-13	Seed	FILL:disease	FILL:biological replicate	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F04	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F04.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F05	Dendrobium sp. xmw-2002-13	Seed	FILL:disease	FILL:biological replicate	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F05	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F05.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F06	Dendrobium sp. xmw-2002-13	Seed	FILL:disease	FILL:biological replicate	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F06	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F06.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F07	Dendrobium sp. xmw-2002-13	Seed	FILL:disease	FILL:biological replicate	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F07	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F07.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F08	Dendrobium sp. xmw-2002-13	Seed	FILL:disease	FILL:biological replicate	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F08	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F08.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F09	Dendrobium sp. xmw-2002-13	Seed	FILL:disease	FILL:biological replicate	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F09	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F09.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F10	Dendrobium sp. xmw-2002-13	Seed	FILL:disease	FILL:biological replicate	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	FILL:cleavage agent details	1	1	200ug_Pendrobe_iTRAQ_8plex_TC201407002_1_F10.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	FILL:factor value
