source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[quenching reagent]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[sample group]
PXD020859-Sample-1	Rattus norvegicus	brain	not available	not applicable	6	not available	not available	not available	30 A	1 h	25 C	2017_08_04_SVs_BS3_11	proteomic profiling by mass spectrometry	2017_08_04_SVs_BS3_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020859/2017_08_04_SVs_BS3_11.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	10 mM	Tris-HCl	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	untreated pilot
PXD020859-Sample-1	Rattus norvegicus	brain	not available	not applicable	6	not available	not available	not available	30 A	1 h	25 C	2017_08_04_SVs_BS3_12	proteomic profiling by mass spectrometry	2017_08_04_SVs_BS3_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020859/2017_08_04_SVs_BS3_12.raw	1	12	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	10 mM	Tris-HCl	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	untreated pilot
PXD020859-Sample-1	Rattus norvegicus	brain	not available	not applicable	6	not available	not available	not available	30 A	1 h	25 C	2017_08_04_SVs_BS3_13	proteomic profiling by mass spectrometry	2017_08_04_SVs_BS3_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020859/2017_08_04_SVs_BS3_13.raw	1	13	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	10 mM	Tris-HCl	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	untreated pilot
PXD020859-Sample-1	Rattus norvegicus	brain	not available	not applicable	6	not available	not available	not available	30 A	1 h	25 C	2017_08_04_SVs_BS3_14	proteomic profiling by mass spectrometry	2017_08_04_SVs_BS3_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020859/2017_08_04_SVs_BS3_14.raw	1	14	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	10 mM	Tris-HCl	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	untreated pilot
PXD020859-Sample-1	Rattus norvegicus	brain	not available	not applicable	6	not available	not available	not available	30 A	1 h	25 C	2017_08_04_SVs_BS3_15	proteomic profiling by mass spectrometry	2017_08_04_SVs_BS3_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020859/2017_08_04_SVs_BS3_15.raw	1	15	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	10 mM	Tris-HCl	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	untreated pilot
PXD020859-Sample-1	Rattus norvegicus	brain	not available	not applicable	6	not available	not available	not available	30 A	1 h	25 C	2017_08_04_SVs_BS3_16	proteomic profiling by mass spectrometry	2017_08_04_SVs_BS3_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020859/2017_08_04_SVs_BS3_16.raw	1	16	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	10 mM	Tris-HCl	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	untreated pilot
PXD020859-Sample-1	Rattus norvegicus	brain	not available	not applicable	6	not available	not available	not available	30 A	1 h	25 C	2017_08_04_SVs_BS3_17	proteomic profiling by mass spectrometry	2017_08_04_SVs_BS3_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020859/2017_08_04_SVs_BS3_17.raw	1	17	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	10 mM	Tris-HCl	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	untreated pilot
PXD020859-Sample-1	Rattus norvegicus	brain	not available	not applicable	6	not available	not available	not available	30 A	1 h	25 C	2017_08_04_SVs_BS3_18	proteomic profiling by mass spectrometry	2017_08_04_SVs_BS3_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020859/2017_08_04_SVs_BS3_18.raw	1	18	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	10 mM	Tris-HCl	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	untreated pilot
PXD020859-Sample-1	Rattus norvegicus	brain	not available	not applicable	6	not available	not available	not available	30 A	1 h	25 C	2017_08_04_SVs_BS3_19	proteomic profiling by mass spectrometry	2017_08_04_SVs_BS3_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020859/2017_08_04_SVs_BS3_19.raw	1	19	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	10 mM	Tris-HCl	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	untreated pilot
PXD020859-Sample-1	Rattus norvegicus	brain	not available	not applicable	6	not available	not available	not available	30 A	1 h	25 C	2017_08_04_SVs_BS3_20	proteomic profiling by mass spectrometry	2017_08_04_SVs_BS3_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD020859/2017_08_04_SVs_BS3_20.raw	1	20	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=BS3;AC=XLMOD:02000	size exclusion chromatography	10 mM	Tris-HCl	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	untreated pilot
