source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[synthetic peptide]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[fractionation method]	comment[elution conditions]	comment[acquisition date]	comment[lc batch]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[source name]
PXD022150_51AL_B2M_Fnucleatum_HLA-I_BR1	Homo sapiens	not available	melanoma cell	1	not pooled	study sample	melanoma	cell line	CRISPR knockout of B2M and coculture with Fusobacterium nucleatum	not synthetic	not available	not available	not available	patient_51	51AL	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I, from HB95 hybridoma)	PXD022150_51AL_B2M_Fnucleatum_HLA-I_BR1_R1	proteomic profiling by mass spectrometry	QEP2_11483_YSA_449_2_220620.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11483_YSA_449_2_220620.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-06-22	QEP2-11483	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	PXD022150_51AL_B2M_Fnucleatum_HLA-I_BR1
PXD022150_51AL_B2M_Fnucleatum_HLA-I_BR2	Homo sapiens	not available	melanoma cell	2	not pooled	study sample	melanoma	cell line	CRISPR knockout of B2M and coculture with Fusobacterium nucleatum	not synthetic	not available	not available	not available	patient_51	51AL	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I, from HB95 hybridoma)	PXD022150_51AL_B2M_Fnucleatum_HLA-I_BR2_R1	proteomic profiling by mass spectrometry	QEP2_11483_YSA_450_2_220620.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11483_YSA_450_2_220620.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-06-22	QEP2-11483	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	PXD022150_51AL_B2M_Fnucleatum_HLA-I_BR2
PXD022150_51AL_B2M_Fnucleatum_HLA-I_BR3	Homo sapiens	not available	melanoma cell	3	not pooled	study sample	melanoma	cell line	CRISPR knockout of B2M and coculture with Fusobacterium nucleatum	not synthetic	not available	not available	not available	patient_51	51AL	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I, from HB95 hybridoma)	PXD022150_51AL_B2M_Fnucleatum_HLA-I_BR3_R1	proteomic profiling by mass spectrometry	QEP2_11483_YSA_451_2_220620.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11483_YSA_451_2_220620.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-06-22	QEP2-11483	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	PXD022150_51AL_B2M_Fnucleatum_HLA-I_BR3
PXD022150_51AL_CIITA_Fnucleatum_HLA-II_BR1	Homo sapiens	not available	melanoma cell	1	not pooled	study sample	melanoma	cell line	CRISPR knockout of CIITA and coculture with Fusobacterium nucleatum	not synthetic	not available	not available	not available	patient_51	51AL	not available	not available	not available	not available	not available	MHC class II protein complex	immunoaffinity purification	not available	not available	HB-145 (pan-HLA class II)	PXD022150_51AL_CIITA_Fnucleatum_HLA-II_BR1_R1	proteomic profiling by mass spectrometry	QEP2_11483_YSA_476_2_220620.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11483_YSA_476_2_220620.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-06-22	QEP2-11483	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	PXD022150_51AL_CIITA_Fnucleatum_HLA-II_BR1
PXD022150_51AL_CIITA_Fnucleatum_HLA-II_BR2	Homo sapiens	not available	melanoma cell	2	not pooled	study sample	melanoma	cell line	CRISPR knockout of CIITA and coculture with Fusobacterium nucleatum	not synthetic	not available	not available	not available	patient_51	51AL	not available	not available	not available	not available	not available	MHC class II protein complex	immunoaffinity purification	not available	not available	HB-145 (pan-HLA class II)	PXD022150_51AL_CIITA_Fnucleatum_HLA-II_BR2_R1	proteomic profiling by mass spectrometry	QEP2_11483_YSA_477_2_220620.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11483_YSA_477_2_220620.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-06-22	QEP2-11483	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	PXD022150_51AL_CIITA_Fnucleatum_HLA-II_BR2
PXD022150_51AL_CIITA_Fnucleatum_HLA-II_BR3	Homo sapiens	not available	melanoma cell	3	not pooled	study sample	melanoma	cell line	CRISPR knockout of CIITA and coculture with Fusobacterium nucleatum	not synthetic	not available	not available	not available	patient_51	51AL	not available	not available	not available	not available	not available	MHC class II protein complex	immunoaffinity purification	not available	not available	HB-145 (pan-HLA class II)	PXD022150_51AL_CIITA_Fnucleatum_HLA-II_BR3_R1	proteomic profiling by mass spectrometry	QEP2_11483_YSA_478_2_220620.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11483_YSA_478_2_220620.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-06-22	QEP2-11483	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	PXD022150_51AL_CIITA_Fnucleatum_HLA-II_BR3
PXD022150_51AL_SC_Fnucleatum_HLA-I_BR1	Homo sapiens	not available	melanoma cell	1	not pooled	study sample	melanoma	cell line	scrambled control sgRNA and coculture with Fusobacterium nucleatum	not synthetic	not available	not available	not available	patient_51	51AL	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I, from HB95 hybridoma)	PXD022150_51AL_SC_Fnucleatum_HLA-I_BR1_R1	proteomic profiling by mass spectrometry	QEP2_12247_YSA_526_2_090920.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_12247_YSA_526_2_090920.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-09-09	QEP2-12247	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	PXD022150_51AL_SC_Fnucleatum_HLA-I_BR1
PXD022150_51AL_SC_Fnucleatum_HLA-I_BR2	Homo sapiens	not available	melanoma cell	2	not pooled	study sample	melanoma	cell line	scrambled control sgRNA and coculture with Fusobacterium nucleatum	not synthetic	not available	not available	not available	patient_51	51AL	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I, from HB95 hybridoma)	PXD022150_51AL_SC_Fnucleatum_HLA-I_BR2_R1	proteomic profiling by mass spectrometry	QEP2_11483_YSA_526_1_220620.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11483_YSA_526_1_220620.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-06-22	QEP2-11483	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	PXD022150_51AL_SC_Fnucleatum_HLA-I_BR2
PXD022150_51AL_SC_Fnucleatum_HLA-I_BR3	Homo sapiens	not available	melanoma cell	3	not pooled	study sample	melanoma	cell line	scrambled control sgRNA and coculture with Fusobacterium nucleatum	not synthetic	not available	not available	not available	patient_51	51AL	not available	not available	not available	not available	not available	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I, from HB95 hybridoma)	PXD022150_51AL_SC_Fnucleatum_HLA-I_BR3_R1	proteomic profiling by mass spectrometry	QEP2_11483_YSA_527_1_220620.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11483_YSA_527_1_220620.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-06-22	QEP2-11483	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	PXD022150_51AL_SC_Fnucleatum_HLA-I_BR3
PXD022150_51AL_SC_Fnucleatum_HLA-II_BR1	Homo sapiens	not available	melanoma cell	1	not pooled	study sample	melanoma	cell line	scrambled control sgRNA and coculture with Fusobacterium nucleatum	not synthetic	not available	not available	not available	patient_51	51AL	not available	not available	not available	not available	not available	MHC class II protein complex	immunoaffinity purification	not available	not available	HB-145 (pan-HLA class II)	PXD022150_51AL_SC_Fnucleatum_HLA-II_BR1_R1	proteomic profiling by mass spectrometry	QEP2_11483_YSA_531_1_220620.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022150/QEP2_11483_YSA_531_1_220620.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	NT=HCD;AC=MS:1000422	20 ppm	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	not applicable	gradient 5-28% acetonitrile over 120 min, 28-35% over 15 min, 35-95% over 15 min, held at 95% for 10 min; 0.35 uL/min; T3 HSS nano-column 75 um x 250 mm, 1.8 um	2020-06-22	QEP2-11483	v1.1.0	sdrf-pipelines v0.1.5	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	PXD022150_51AL_SC_Fnucleatum_HLA-II_BR1
