source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[material type]	characteristics[biological replicate]	characteristics[immunopeptidome enrichment method]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[antibody enrichment]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[ms2 mass analyzer]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[source name]
MdB024	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB024	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB024_run1	proteomic profiling by mass spectrometry	2047_L_MdB_6jan2020_MdB024.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB024
MdB024	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB024	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB024_run2	proteomic profiling by mass spectrometry	2047_L_MdB_6jan2020_MdB024_20200106173725.raw	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB024
MdB025_distant	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB025	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB025_distant_run1	proteomic profiling by mass spectrometry	2064_L_MdB072_7mei19_donor_MdB025_distant_OT.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB025_distant
MdB025_distant	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB025	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB025_distant_run2	proteomic profiling by mass spectrometry	2064_L_MdB072_7mei19_donor_MdB025_distant_OT_2.raw	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB025_distant
MdB026	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB026	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB026_run1	proteomic profiling by mass spectrometry	2064_L_MdB072_7mei19_donor_MdB026_OT.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB026
MdB026	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB026	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB026_run2	proteomic profiling by mass spectrometry	2064_L_MdB072_7mei19_donor_MdB026_OT_2.raw	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB026
MdB027_HCC	Homo sapiens	liver	hepatocyte	hepatocellular carcinoma	not available	not available	MdB027	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB027_HCC_run1	proteomic profiling by mass spectrometry	2047_L_MdB_6jan2020_MdB027_HCC.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB027_HCC
MdB027_HCC	Homo sapiens	liver	hepatocyte	hepatocellular carcinoma	not available	not available	MdB027	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB027_HCC_run2	proteomic profiling by mass spectrometry	2047_L_MdB_6jan2020_MdB027_HCC_20200107142218.raw	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB027_HCC
MdB027_distant	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB027	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB027_distant_run1	proteomic profiling by mass spectrometry	2060_L_MdB068_1mei19_donor_MdB027_distant_2_OT.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB027_distant
MdB027_distant	Homo sapiens	liver	hepatocyte	normal	not available	not available	MdB027	adult	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	MdB027_distant_run2	proteomic profiling by mass spectrometry	2060_L_MdB068_1mei19_donor_MdB027_distant_OT.raw	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	375m/z	1200m/z	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MdB027_distant
