source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[material type]	characteristics[cell line]	characteristics[passage number]	characteristics[cell culture]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[treatment]	characteristics[depletion]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[enrichment process]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
HEK293 Flp-In Lib DMSO	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% fetal bovine serum (BioConcept); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction (Sigma); 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); doxycycline-inducible TurboID-CRBN Flp-In construct; pooled DMSO condition for spectral library generation	not available	not applicable	adult	pooled	Untreated Control	not applicable	Lib_DMSO_rep1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001310	TCEP	Iodoacetamide	enrichment of biotinylated peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K,TERM;MT=Variable	label free sample	1	1	230213_EX1_sabkeller_Lib_CRBN_DMSO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	Untreated Control
HEK293 Flp-In TC1 DMSO	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% fetal bovine serum (BioConcept); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction (Sigma); 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); doxycycline-inducible TurboID-CRBN Flp-In construct; 10 µM Lenalidomide (NCIT:C2668); 4h DMSO solvent control	not available	not applicable	adult	1	Untreated Control	not applicable	TC1_DMSO_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001310	TCEP	Iodoacetamide	enrichment of biotinylated peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K,TERM;MT=Variable	label free sample	1	1	230213_EX1_sabkeller_CRBN_DMSO1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	Untreated Control
HEK293 Flp-In TC2 DMSO	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% fetal bovine serum (BioConcept); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction (Sigma); 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); doxycycline-inducible TurboID-CRBN Flp-In construct; 10 µM Lenalidomide (NCIT:C2668); 4h DMSO solvent control	not available	not applicable	adult	2	Untreated Control	not applicable	TC2_DMSO_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001310	TCEP	Iodoacetamide	enrichment of biotinylated peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K,TERM;MT=Variable	label free sample	1	1	230213_EX1_sabkeller_CRBN_DMSO2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	Untreated Control
HEK293 Flp-In TC3 DMSO	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% fetal bovine serum (BioConcept); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction (Sigma); 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); doxycycline-inducible TurboID-CRBN Flp-In construct; 10 µM Lenalidomide (NCIT:C2668); 4h DMSO solvent control	not available	not applicable	adult	3	Untreated Control	not applicable	TC3_DMSO_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001310	TCEP	Iodoacetamide	enrichment of biotinylated peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K,TERM;MT=Variable	label free sample	1	1	230213_EX1_sabkeller_CRBN_DMSO3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	Untreated Control
HEK293 Flp-In TC4 DMSO	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% fetal bovine serum (BioConcept); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction (Sigma); 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); doxycycline-inducible TurboID-CRBN Flp-In construct; 10 µM Lenalidomide (NCIT:C2668); 4h DMSO solvent control	not available	not applicable	adult	4	Untreated Control	not applicable	TC4_DMSO_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001310	TCEP	Iodoacetamide	enrichment of biotinylated peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K,TERM;MT=Variable	label free sample	1	1	230213_EX1_sabkeller_CRBN_DMSO4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	Untreated Control
HEK293 Flp-In Lib LEN	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% fetal bovine serum (BioConcept); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction (Sigma); 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); 10 µM Lenalidomide (NCIT:C2668); doxycycline-inducible TurboID-CRBN Flp-In construct; pooled Lenalidomide condition for spectral library generation	not available	not applicable	adult	pooled	Lenalidomide	not applicable	Lib_LEN_rep1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001310	TCEP	Iodoacetamide	enrichment of biotinylated peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K,TERM;MT=Variable	label free sample	1	1	230213_EX1_sabkeller_Lib_CRBN_LEN.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	Lenalidomide
HEK293 Flp-In TC1 LEN	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% fetal bovine serum (BioConcept); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction (Sigma); 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); doxycycline-inducible TurboID-CRBN Flp-In construct; 10 µM Lenalidomide (NCIT:C2668); 4h treatment	not available	not applicable	adult	1	Lenalidomide	not applicable	TC1_LEN_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001310	TCEP	Iodoacetamide	enrichment of biotinylated peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K,TERM;MT=Variable	label free sample	1	1	230213_EX1_sabkeller_CRBN_LEN1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	Lenalidomide
HEK293 Flp-In TC2 LEN	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% fetal bovine serum (BioConcept); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction (Sigma); 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); doxycycline-inducible TurboID-CRBN Flp-In construct; 10 µM Lenalidomide (NCIT:C2668); 4h treatment	not available	not applicable	adult	2	Lenalidomide	not applicable	TC2_LEN_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001310	TCEP	Iodoacetamide	enrichment of biotinylated peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K,TERM;MT=Variable	label free sample	1	1	230213_EX1_sabkeller_CRBN_LEN2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	Lenalidomide
HEK293 Flp-In TC3 LEN	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% fetal bovine serum (BioConcept); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction (Sigma); 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); doxycycline-inducible TurboID-CRBN Flp-In construct; 10 µM Lenalidomide (NCIT:C2668); 4h treatment	not available	not applicable	adult	3	Lenalidomide	not applicable	TC3_LEN_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001310	TCEP	Iodoacetamide	enrichment of biotinylated peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K,TERM;MT=Variable	label free sample	1	1	230213_EX1_sabkeller_CRBN_LEN3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	Lenalidomide
HEK293 Flp-In TC4 LEN	homo sapiens	not available	normal	cell line	HEK293 Flp-In	not available	Dulbecco's modified Eagle medium (NCIT:C12461); 10% fetal bovine serum (BioConcept); 1% penicillin-streptomycin (GIBCO); 1.3 µg/mL doxycycline 24h pre-induction (Sigma); 50 µM biotin (Sigma); 10 µM MG132 proteasome inhibitor (Sigma); doxycycline-inducible TurboID-CRBN Flp-In construct; 10 µM Lenalidomide (NCIT:C2668); 4h treatment	not available	not applicable	adult	4	Lenalidomide	not applicable	TC4_LEN_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001310	TCEP	Iodoacetamide	enrichment of biotinylated peptides	HCD	orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GlyGly;AC=UNIMOD:1212;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K,TERM;MT=Variable	label free sample	1	1	230213_EX1_sabkeller_CRBN_LEN4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	Lenalidomide
