source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[quenching reagent]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
PXD055778-sample	petunia integrifolia subsp. inflata	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S10_S2-G10_1_581.d.zip	proteomic profiling by mass spectrometry	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S10_S2-G10_1_581.d.zip	1	1	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD055778-sample	petunia integrifolia subsp. inflata	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S11_S2-G11_1_582.d.zip	proteomic profiling by mass spectrometry	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S11_S2-G11_1_582.d.zip	1	2	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD055778-sample	petunia integrifolia subsp. inflata	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S12_S2-G12_1_583.d.zip	proteomic profiling by mass spectrometry	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S12_S2-G12_1_583.d.zip	1	3	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD055778-sample	petunia integrifolia subsp. inflata	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S13_S2-H1_1_584.d.zip	proteomic profiling by mass spectrometry	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S13_S2-H1_1_584.d.zip	1	4	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD055778-sample	petunia integrifolia subsp. inflata	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S14_S2-H2_1_585.d.zip	proteomic profiling by mass spectrometry	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S14_S2-H2_1_585.d.zip	1	5	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD055778-sample	petunia integrifolia subsp. inflata	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S15_S2-H3_1_586.d.zip	proteomic profiling by mass spectrometry	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S15_S2-H3_1_586.d.zip	1	6	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD055778-sample	petunia integrifolia subsp. inflata	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S16_S2-H4_1_587.d.zip	proteomic profiling by mass spectrometry	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S16_S2-H4_1_587.d.zip	1	7	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD055778-sample	petunia integrifolia subsp. inflata	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S17_S2-H5_1_588.d.zip	proteomic profiling by mass spectrometry	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S17_S2-H5_1_588.d.zip	1	8	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD055778-sample	petunia integrifolia subsp. inflata	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S18_S2-H6_1_589.d.zip	proteomic profiling by mass spectrometry	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S18_S2-H6_1_589.d.zip	1	9	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD055778-sample	petunia integrifolia subsp. inflata	not applicable	not applicable	not applicable	1	synthetic	reference	not available	not available	not available	not available	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S1_S2-G1_1_572.d.zip	proteomic profiling by mass spectrometry	20220808_TIMS6_EVO3_PRI_P0155_R0536_44min_DDA_S1_S2-G1_1_572.d.zip	1	10	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=TurboID;AC=XLMOD:02251	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
