accession	sdrf_path	column_action	old_values	new_values	notes
PAD000001	sandbox/PAD000001/PAD000001.sdrf.tsv	removed all-not-applicable optional column	experimental sample	not applicable	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000002	sandbox/PAD000002/PAD000002.sdrf.tsv	mapped to controlled values	control sample;experimental sample;negative control sample	negative control;not applicable;plate control;quality control sample	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000003	sandbox/PAD000003/PAD000003.sdrf.tsv	removed all-not-applicable optional column	experimental sample	not applicable	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000004	sandbox/PAD000004/PAD000004.sdrf.tsv	mapped to controlled values	control sample;experimental sample;negative control sample	negative control;not applicable;plate control;quality control sample	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000005	sandbox/PAD000005/PAD000005.sdrf.tsv	removed all-not-applicable optional column	experimental sample	not applicable	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000006	sandbox/PAD000006/PAD000006.sdrf.tsv	removed all-not-applicable optional column	experimental sample	not applicable	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000008	sandbox/PAD000008/PAD000008.sdrf.tsv	removed all-not-applicable optional column	experimental sample	not applicable	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000009	sandbox/PAD000009/PAD000009.sdrf.tsv	mapped to controlled values	control sample;experimental sample;negative control sample	negative control;not applicable;plate control;quality control sample	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000010	sandbox/PAD000010/PAD000010.sdrf.tsv	mapped to controlled values	calibrator sample;experimental sample;quality control sample	calibrator;not applicable;quality control sample	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000013	sandbox/PAD000013/PAD000013.sdrf.tsv	mapped to controlled values	calibrator sample;experimental sample;quality control sample	calibrator;not applicable;quality control sample	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000014	sandbox/PAD000014/PAD000014.sdrf.tsv	mapped to controlled values	calibrator sample;experimental sample;quality control sample	calibrator;not applicable;quality control sample	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000016	sandbox/PAD000016/PAD000016.sdrf.tsv	mapped to controlled values	control sample;experimental sample;negative control sample	negative control;not applicable;plate control;quality control sample	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000019	sandbox/PAD000019/PAD000019.sdrf.tsv	mapped to controlled values	control sample;experimental sample;negative control sample	negative control;not applicable;plate control;quality control sample	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000020	sandbox/PAD000020/PAD000020.sdrf.tsv	mapped to controlled values	calibrator sample;experimental sample;quality control sample	calibrator;not applicable;quality control sample	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000021	sandbox/PAD000021/PAD000021.sdrf.tsv	mapped to controlled values	calibrator sample;experimental sample;quality control sample	calibrator;not applicable;quality control sample	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000022	sandbox/PAD000022/PAD000022.sdrf.tsv	removed all-not-applicable optional column	experimental sample	not applicable	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000026	sandbox/PAD000026/PAD000026.sdrf.tsv	mapped to controlled values	calibrator sample;experimental sample;quality control sample	calibrator;not applicable;quality control sample	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000030	sandbox/PAD000030/PAD000030.sdrf.tsv	removed all-not-applicable optional column	experimental sample	not applicable	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000033	sandbox/PAD000033/PAD000033.sdrf.tsv	removed all-not-applicable optional column	experimental sample	not applicable	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000036	sandbox/PAD000036/PAD000036.sdrf.tsv	mapped to controlled values	calibrator sample;experimental sample;quality control sample	calibrator;not applicable;quality control sample	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000037	sandbox/PAD000037/PAD000037.sdrf.tsv	removed all-not-applicable optional column	control sample;experimental sample	not applicable	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
PAD000041	sandbox/PAD000041/PAD000041.sdrf.tsv	removed all-not-applicable optional column	experimental sample	not applicable	ordinary assay samples do not use characteristics[sample type]; special roles use PRIDE sample type children
