source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
2020-06-10_P10_HEW11-PA	2020-06-10_P10_HEW11-PA	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P10_HEW11-PA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P10_HEW11-PA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P11_HEW8-ES	2020-06-10_P11_HEW8-ES	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P11_HEW8-ES	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P11_HEW8-ES.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P13_HEW5-ES	2020-06-10_P13_HEW5-ES	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P13_HEW5-ES	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P13_HEW5-ES.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P14_HEW8-PA	2020-06-10_P14_HEW8-PA	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P14_HEW8-PA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P14_HEW8-PA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P15_HEW4-ES	2020-06-10_P15_HEW4-ES	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P15_HEW4-ES	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P15_HEW4-ES.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P16_HEW12-ES	2020-06-10_P16_HEW12-ES	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P16_HEW12-ES	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P16_HEW12-ES.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P17_HEW5-PA	2020-06-10_P17_HEW5-PA	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P17_HEW5-PA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P17_HEW5-PA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P18_HEW3-PA	2020-06-10_P18_HEW3-PA	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P18_HEW3-PA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P18_HEW3-PA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P19_HEW7-ES	2020-06-10_P19_HEW7-ES	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P19_HEW7-ES	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P19_HEW7-ES.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P1_HEW9-PA	2020-06-10_P1_HEW9-PA	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P1_HEW9-PA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P1_HEW9-PA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
